design,s,threads,rep,wall_ns,collect_ns,count_ns,insert_ns,latch_ns,ok
unchained,1,4,0,128521502,23869391,358318,104293793,0,1
unchained,1,4,1,128381060,23765807,356066,104259187,0,1
unchained,1,4,2,128790940,23774816,350170,104665954,0,1
unchained,1,4,3,128703641,23782344,364364,104556933,0,1
unchained,1,4,4,128913668,23763445,354386,104795837,0,1
chained,1,4,0,496323295,0,0,496323295,0,1
chained,1,4,1,491802254,0,0,491802254,0,1
chained,1,4,2,509533292,0,0,509533292,0,1
chained,1,4,3,511501899,0,0,511501899,0,1
chained,1,4,4,504794980,0,0,504794980,0,1
ch-mutex,1,4,0,359238636,18771280,0,340436119,2989345,1
ch-mutex,1,4,1,361327946,18787511,0,342582898,3180954,1
ch-mutex,1,4,2,360108483,18854691,0,341318672,3081485,1
ch-mutex,1,4,3,365474528,19083565,0,346389718,2654278,1
ch-mutex,1,4,4,364135488,18764549,0,345395437,3021090,1
ch-spin,1,4,0,361959075,18973128,0,342980615,2404507,1
ch-spin,1,4,1,363029393,19056751,0,344087816,5370596,1
ch-spin,1,4,2,362547435,18995914,0,343566019,2816691,1
ch-spin,1,4,3,354204013,18970595,0,335201087,2274467,1
ch-spin,1,4,4,363079365,19220028,0,344144957,2735926,1
unchained,1,8,0,76607790,11862707,450572,64294511,0,1
unchained,1,8,1,76698141,11853346,449246,64395549,0,1
unchained,1,8,2,77151297,11842654,463545,64845098,0,1
unchained,1,8,3,76454258,11867434,465355,64121469,0,1
unchained,1,8,4,76575472,11905778,452896,64216798,0,1
chained,1,8,0,266137844,0,0,266137844,0,1
chained,1,8,1,261987232,0,0,261987232,0,1
chained,1,8,2,264511750,0,0,264511750,0,1
chained,1,8,3,254635951,0,0,254635951,0,1
chained,1,8,4,265871828,0,0,265871828,0,1
ch-mutex,1,8,0,187331949,9634757,0,177721671,4127033,1
ch-mutex,1,8,1,186464945,9740656,0,176825104,4742813,1
ch-mutex,1,8,2,184173008,9601637,0,174608675,4347636,1
ch-mutex,1,8,3,186563021,9650210,0,176942416,4342522,1
ch-mutex,1,8,4,184233088,9592949,0,174677160,4503337,1
ch-spin,1,8,0,185281204,9822288,0,175575074,3827097,1
ch-spin,1,8,1,183330841,9681767,0,173697380,3672961,1
ch-spin,1,8,2,183623884,9751332,0,174015154,3767511,1
ch-spin,1,8,3,187532609,9761208,0,177815110,3522819,1
ch-spin,1,8,4,183501713,9617012,0,173978687,3633314,1
unchained,1,16,0,52165255,6962519,524973,44677763,0,1
unchained,1,16,1,52095714,6934336,504069,44657309,0,1
unchained,1,16,2,52217393,7004018,525013,44688362,0,1
unchained,1,16,3,52297130,6971551,524302,44801277,0,1
unchained,1,16,4,52102893,6924764,525067,44653062,0,1
chained,1,16,0,138136390,0,0,138136390,0,1
chained,1,16,1,138120631,0,0,138120631,0,1
chained,1,16,2,135369595,0,0,135369595,0,1
chained,1,16,3,138061627,0,0,138061627,0,1
chained,1,16,4,135683995,0,0,135683995,0,1
ch-mutex,1,16,0,97876705,5495527,0,92378589,17633300,1
ch-mutex,1,16,1,96607164,5379811,0,91235801,15744647,1
ch-mutex,1,16,2,96789198,5390459,0,91528368,14224408,1
ch-mutex,1,16,3,97788686,5438319,0,92459499,19522615,1
ch-mutex,1,16,4,98142462,5497793,0,92684752,18470654,1
ch-spin,1,16,0,96324519,5426893,0,91027316,17056939,1
ch-spin,1,16,1,96902956,5461078,0,91480321,14208510,1
ch-spin,1,16,2,96653235,5590844,0,91094614,15455841,1
ch-spin,1,16,3,96167366,5495552,0,90794880,15542368,1
ch-spin,1,16,4,95978920,5440756,0,90532266,14717370,1
unchained,1,24,0,46171660,6774022,532056,38865582,0,1
unchained,1,24,1,45663418,6706752,536956,38419710,0,1
unchained,1,24,2,45701695,6672130,521486,38508079,0,1
unchained,1,24,3,45816402,6680606,538022,38597774,0,1
unchained,1,24,4,45577935,6681610,527688,38368637,0,1
chained,1,24,0,93055524,0,0,93055524,0,1
chained,1,24,1,94164522,0,0,94164522,0,1
chained,1,24,2,97734877,0,0,97734877,0,1
chained,1,24,3,92257403,0,0,92257403,0,1
chained,1,24,4,94211365,0,0,94211365,0,1
ch-mutex,1,24,0,68290831,3816302,0,64462494,33260816,1
ch-mutex,1,24,1,67900718,3804648,0,64105422,29471913,1
ch-mutex,1,24,2,67758838,3900031,0,63967830,27717657,1
ch-mutex,1,24,3,68908197,3949622,0,64904198,20191379,1
ch-mutex,1,24,4,67653571,3869643,0,63756561,19968476,1
ch-spin,1,24,0,67528168,3903854,0,63563569,24161026,1
ch-spin,1,24,1,67134925,3889348,0,63347814,22550634,1
ch-spin,1,24,2,67945182,3895727,0,63981906,15208164,1
ch-spin,1,24,3,67283384,3893837,0,63475117,15467222,1
ch-spin,1,24,4,67686727,3903876,0,63731424,23395163,1
unchained,1,32,0,42766384,6634221,542936,35589227,0,1
unchained,1,32,1,43070507,6684848,565663,35819996,0,1
unchained,1,32,2,43309055,6647903,566007,36095145,0,1
unchained,1,32,3,43317205,6622050,561105,36134050,0,1
unchained,1,32,4,42806729,6607893,559082,35639754,0,1
chained,1,32,0,87231592,0,0,87231592,0,1
chained,1,32,1,80611366,0,0,80611366,0,1
chained,1,32,2,76413446,0,0,76413446,0,1
chained,1,32,3,83593287,0,0,83593287,0,1
chained,1,32,4,77756545,0,0,77756545,0,1
ch-mutex,1,32,0,58072113,2996475,0,55015665,103334396,1
ch-mutex,1,32,1,57000895,3017282,0,53943099,102387933,1
ch-mutex,1,32,2,57758606,2994241,0,54695820,108016207,1
ch-mutex,1,32,3,57545657,3036097,0,54435162,113751956,1
ch-mutex,1,32,4,56836656,2987838,0,53775513,103714165,1
ch-spin,1,32,0,57832279,3037268,0,54924302,82575460,1
ch-spin,1,32,1,57476231,3087219,0,54377920,104204338,1
ch-spin,1,32,2,57399805,3018773,0,54342335,96345927,1
ch-spin,1,32,3,56611991,3060697,0,53528887,96808527,1
ch-spin,1,32,4,56426963,3031478,0,53312366,93042117,1
unchained,1,48,0,40363323,6669681,581906,33111736,0,1
unchained,1,48,1,40295357,6596474,579997,33118886,0,1
unchained,1,48,2,40067826,6451695,593629,33022502,0,1
unchained,1,48,3,40144180,6548132,595423,33000625,0,1
unchained,1,48,4,40083801,6457135,570428,33056238,0,1
chained,1,48,0,72485393,0,0,72485393,0,1
chained,1,48,1,74963422,0,0,74963422,0,1
chained,1,48,2,82684576,0,0,82684576,0,1
chained,1,48,3,76424789,0,0,76424789,0,1
chained,1,48,4,76308819,0,0,76308819,0,1
ch-mutex,1,48,0,58266455,2058927,0,56055603,803767418,1
ch-mutex,1,48,1,57632994,2071254,0,55526830,832981871,1
ch-mutex,1,48,2,58870731,2060104,0,56794945,851437350,1
ch-mutex,1,48,3,59267404,2077325,0,57190417,856496353,1
ch-mutex,1,48,4,58952801,2049434,0,56823370,860086754,1
ch-spin,1,48,0,72279994,2038719,0,70419062,607159759,1
ch-spin,1,48,1,93994095,2072776,0,92033644,933562737,1
ch-spin,1,48,2,72318123,2021307,0,70418041,607250814,1
ch-spin,1,48,3,73798276,2062402,0,71916910,596510273,1
ch-spin,1,48,4,73247980,2050994,0,71303152,618520319,1
unchained,1,64,0,39088320,6417415,619010,32051895,0,1
unchained,1,64,1,39024973,6407429,616685,32000859,0,1
unchained,1,64,2,38790644,6317910,600954,31871780,0,1
unchained,1,64,3,39068727,6334466,615792,32118469,0,1
unchained,1,64,4,38906500,6364546,617841,31924113,0,1
chained,1,64,0,83868814,0,0,83868814,0,1
chained,1,64,1,75433076,0,0,75433076,0,1
chained,1,64,2,78650754,0,0,78650754,0,1
chained,1,64,3,79717152,0,0,79717152,0,1
chained,1,64,4,73823705,0,0,73823705,0,1
ch-mutex,1,64,0,64078999,1580282,0,62443744,1649204796,1
ch-mutex,1,64,1,59913082,1563358,0,58202606,1635858420,1
ch-mutex,1,64,2,59386191,1564886,0,57772071,1544030033,1
ch-mutex,1,64,3,60875565,1576896,0,59263957,1577846786,1
ch-mutex,1,64,4,60167432,1564317,0,58593810,1584866377,1
ch-spin,1,64,0,66004045,1569203,0,64461275,1127676538,1
ch-spin,1,64,1,85467506,1559367,0,83936898,1783303879,1
ch-spin,1,64,2,68219811,1587921,0,66671857,1181032278,1
ch-spin,1,64,3,64199691,1538831,0,62642269,1122080524,1
ch-spin,1,64,4,75499258,1548279,0,73910354,1399727450,1
unchained,1,96,0,37564982,5648737,657093,31259152,0,1
unchained,1,96,1,37523793,5671262,672405,31180126,0,1
unchained,1,96,2,41405887,7937527,681191,32787169,0,1
unchained,1,96,3,192093210,137743086,684063,53666061,0,1
unchained,1,96,4,37211154,5689272,674116,30847766,0,1
chained,1,96,0,81845309,0,0,81845309,0,1
chained,1,96,1,84618052,0,0,84618052,0,1
chained,1,96,2,306777184,0,0,306777184,0,1
chained,1,96,3,83119679,0,0,83119679,0,1
chained,1,96,4,306772495,0,0,306772495,0,1
ch-mutex,1,96,0,85515473,1095677,0,83841051,4140746974,1
ch-mutex,1,96,1,65276365,1077049,0,64016941,3357966071,1
ch-mutex,1,96,2,68212944,1073326,0,66977873,3270240662,1
ch-mutex,1,96,3,77417433,1095102,0,74673288,3907667204,1
ch-mutex,1,96,4,104851321,1088951,0,101097843,5430441456,1
ch-spin,1,96,0,71294818,1083852,0,70026764,2741522705,1
ch-spin,1,96,1,148518761,1113806,0,145909564,8151644800,1
ch-spin,1,96,2,126975288,1118165,0,122694335,6520374354,1
ch-spin,1,96,3,68544698,1087941,0,67205653,2766358489,1
ch-spin,1,96,4,69745160,1077803,0,68605802,2582459184,1
unchained,1.25,1,0,434274112,94052049,123135,340098928,0,1
unchained,1.25,1,1,435246866,94054526,124667,341067673,0,1
unchained,1.25,1,2,434014789,93798004,123757,340093028,0,1
unchained,1.25,1,3,434278633,93950315,121802,340206516,0,1
unchained,1.25,1,4,434186693,93768170,132713,340285810,0,1
chained,1.25,1,0,600783059,0,0,600783059,0,1
chained,1.25,1,1,582255643,0,0,582255643,0,1
chained,1.25,1,2,596455671,0,0,596455671,0,1
chained,1.25,1,3,579669794,0,0,579669794,0,1
chained,1.25,1,4,594642451,0,0,594642451,0,1
ch-mutex,1.25,1,0,745475471,73386441,0,672034035,2080905,1
ch-mutex,1.25,1,1,728893005,72864815,0,655963328,2042180,1
ch-mutex,1.25,1,2,708908537,72946145,0,635892047,1994347,1
ch-mutex,1.25,1,3,712635553,72777237,0,639790993,1968879,1
ch-mutex,1.25,1,4,716889930,73009988,0,643807687,2001277,1
ch-spin,1.25,1,0,717726114,83243269,0,634409192,1604753,1
ch-spin,1.25,1,1,742601206,83363104,0,659176110,1608139,1
ch-spin,1.25,1,2,703082847,83178550,0,619823031,1578705,1
ch-spin,1.25,1,3,754403289,82866995,0,671464561,1588527,1
ch-spin,1.25,1,4,778736184,83244571,0,695419489,1606439,1
unchained,1.25,2,0,234729191,47490029,197402,187041760,0,1
unchained,1.25,2,1,234378365,47386592,203440,186788333,0,1
unchained,1.25,2,2,234577356,47582359,197710,186797287,0,1
unchained,1.25,2,3,235208008,47645636,199141,187363231,0,1
unchained,1.25,2,4,235330297,47593065,197559,187539673,0,1
chained,1.25,2,0,592445886,0,0,592445886,0,1
chained,1.25,2,1,570680174,0,0,570680174,0,1
chained,1.25,2,2,583972346,0,0,583972346,0,1
chained,1.25,2,3,568882405,0,0,568882405,0,1
chained,1.25,2,4,559119563,0,0,559119563,0,1
ch-mutex,1.25,2,0,373210670,36615382,0,336551812,2097389,1
ch-mutex,1.25,2,1,375509927,36396057,0,339159254,2124301,1
ch-mutex,1.25,2,2,379893672,36504713,0,343388085,2133197,1
ch-mutex,1.25,2,3,363579008,36572208,0,326963127,2039656,1
ch-mutex,1.25,2,4,365146241,36491712,0,328610132,2029218,1
ch-spin,1.25,2,0,397570105,41568911,0,355964775,22080770,1
ch-spin,1.25,2,1,380467733,41637938,0,338770221,1780355,1
ch-spin,1.25,2,2,378601364,41576549,0,336980758,1774002,1
ch-spin,1.25,2,3,383443275,41582053,0,341956702,1769538,1
ch-spin,1.25,2,4,375209449,41731512,0,333439304,1773694,1
unchained,1.25,4,0,152713104,24445329,289711,127978064,0,1
unchained,1.25,4,1,152783766,24314762,283215,128185789,0,1
unchained,1.25,4,2,152164970,24309682,279299,127575989,0,1
unchained,1.25,4,3,152854549,24236842,286768,128330939,0,1
unchained,1.25,4,4,154696531,24326397,280839,130089295,0,1
chained,1.25,4,0,363508704,0,0,363508704,0,1
chained,1.25,4,1,383210852,0,0,383210852,0,1
chained,1.25,4,2,390084154,0,0,390084154,0,1
chained,1.25,4,3,378764421,0,0,378764421,0,1
chained,1.25,4,4,391550092,0,0,391550092,0,1
ch-mutex,1.25,4,0,188400807,18243087,0,170202320,3191512,1
ch-mutex,1.25,4,1,191832491,18334371,0,173468369,3336702,1
ch-mutex,1.25,4,2,196371877,18240148,0,178131285,4288870,1
ch-mutex,1.25,4,3,187838438,18252273,0,169556791,3696613,1
ch-mutex,1.25,4,4,192275489,18291168,0,174005965,3574375,1
ch-spin,1.25,4,0,195004980,20831535,0,174221174,3263725,1
ch-spin,1.25,4,1,199430911,20946611,0,178548421,3466789,1
ch-spin,1.25,4,2,204804540,20782740,0,184072488,3712865,1
ch-spin,1.25,4,3,192686638,20724033,0,171992892,3395859,1
ch-spin,1.25,4,4,199973434,20806439,0,179143091,3573052,1
unchained,1.25,8,0,109289671,13393307,332649,95563715,0,1
unchained,1.25,8,1,109470014,13284936,336553,95848525,0,1
unchained,1.25,8,2,109266048,13280463,337636,95647949,0,1
unchained,1.25,8,3,109068944,13241216,345425,95482303,0,1
unchained,1.25,8,4,109146756,13254727,332554,95559475,0,1
chained,1.25,8,0,262765809,0,0,262765809,0,1
chained,1.25,8,1,237627400,0,0,237627400,0,1
chained,1.25,8,2,262654839,0,0,262654839,0,1
chained,1.25,8,3,237576243,0,0,237576243,0,1
chained,1.25,8,4,262826559,0,0,262826559,0,1
ch-mutex,1.25,8,0,106276955,9136299,0,97111929,21900183,1
ch-mutex,1.25,8,1,105377973,9166403,0,96236208,24942648,1
ch-mutex,1.25,8,2,107095377,9160933,0,97937289,26681097,1
ch-mutex,1.25,8,3,107858175,9182917,0,98751792,24719498,1
ch-mutex,1.25,8,4,106578671,9148424,0,97466476,23837030,1
ch-spin,1.25,8,0,114084895,10401288,0,103675021,26567576,1
ch-spin,1.25,8,1,108243730,10374422,0,97840901,27468539,1
ch-spin,1.25,8,2,109647498,10409920,0,99209167,20443200,1
ch-spin,1.25,8,3,109883936,10369188,0,99523904,23439564,1
ch-spin,1.25,8,4,107763964,10361501,0,97376666,22545997,1
unchained,1.25,16,0,88823905,7714965,399361,80709579,0,1
unchained,1.25,16,1,88915016,7658461,391465,80865090,0,1
unchained,1.25,16,2,89140297,7744006,415851,80980440,0,1
unchained,1.25,16,3,88909612,7652634,402425,80854553,0,1
unchained,1.25,16,4,89176215,7702942,395067,81078206,0,1
chained,1.25,16,0,262808271,0,0,262808271,0,1
chained,1.25,16,1,267931053,0,0,267931053,0,1
chained,1.25,16,2,275997714,0,0,275997714,0,1
chained,1.25,16,3,268024956,0,0,268024956,0,1
chained,1.25,16,4,263288214,0,0,263288214,0,1
ch-mutex,1.25,16,0,86995090,4667265,0,82323088,534884207,1
ch-mutex,1.25,16,1,88297294,4683157,0,83599524,540148219,1
ch-mutex,1.25,16,2,86832219,4670672,0,82137424,531988634,1
ch-mutex,1.25,16,3,87448196,4667133,0,82745839,550702740,1
ch-mutex,1.25,16,4,87671688,4661356,0,83000187,532886738,1
ch-spin,1.25,16,0,116383057,5222149,0,111150849,397607658,1
ch-spin,1.25,16,1,121031693,5230879,0,115777704,445750595,1
ch-spin,1.25,16,2,111341530,5254429,0,106100768,387793850,1
ch-spin,1.25,16,3,117659621,5257816,0,112408546,420605882,1
ch-spin,1.25,16,4,114135117,5225156,0,108866061,388139658,1
unchained,1.25,24,0,85165774,6635317,415849,78114608,0,1
unchained,1.25,24,1,84434894,6607517,410964,77416413,0,1
unchained,1.25,24,2,84255703,6633525,407314,77214864,0,1
unchained,1.25,24,3,84276628,6624027,425380,77227221,0,1
unchained,1.25,24,4,84274583,6844845,410752,77018986,0,1
chained,1.25,24,0,245957149,0,0,245957149,0,1
chained,1.25,24,1,252977520,0,0,252977520,0,1
chained,1.25,24,2,252044910,0,0,252044910,0,1
chained,1.25,24,3,242583786,0,0,242583786,0,1
chained,1.25,24,4,253177497,0,0,253177497,0,1
ch-mutex,1.25,24,0,86979219,3167292,0,83774731,1210370052,1
ch-mutex,1.25,24,1,90057735,3176606,0,86849724,1216915270,1
ch-mutex,1.25,24,2,88020221,3174933,0,84805973,1189462257,1
ch-mutex,1.25,24,3,88430491,3168810,0,85253800,1191581597,1
ch-mutex,1.25,24,4,90434129,3174319,0,87270221,1202309746,1
ch-spin,1.25,24,0,94295516,3509249,0,90781541,692029603,1
ch-spin,1.25,24,1,102729777,3529039,0,99246233,769081483,1
ch-spin,1.25,24,2,113577355,3497458,0,110075705,782981401,1
ch-spin,1.25,24,3,109255679,3516864,0,105765133,854215855,1
ch-spin,1.25,24,4,103066267,3510781,0,99564429,792900253,1
unchained,1.25,32,0,83004637,6770209,456600,75777828,0,1
unchained,1.25,32,1,82705665,6557313,460905,75687447,0,1
unchained,1.25,32,2,82472094,6653700,460310,75358084,0,1
unchained,1.25,32,3,82070643,6475685,450990,75143968,0,1
unchained,1.25,32,4,82391943,6732988,459880,75199075,0,1
chained,1.25,32,0,269467020,0,0,269467020,0,1
chained,1.25,32,1,248673971,0,0,248673971,0,1
chained,1.25,32,2,247100643,0,0,247100643,0,1
chained,1.25,32,3,248267552,0,0,248267552,0,1
chained,1.25,32,4,258933725,0,0,258933725,0,1
ch-mutex,1.25,32,0,89064161,2413826,0,86610880,1867373440,1
ch-mutex,1.25,32,1,88731701,2408189,0,86310228,1889524339,1
ch-mutex,1.25,32,2,88880526,2391969,0,86401705,1873284584,1
ch-mutex,1.25,32,3,88966243,2417602,0,86541041,1888758797,1
ch-mutex,1.25,32,4,87255938,2400999,0,84816476,1865831829,1
ch-spin,1.25,32,0,119785201,2649632,0,117064045,1519209410,1
ch-spin,1.25,32,1,111219504,2658711,0,108508854,1466299699,1
ch-spin,1.25,32,2,92304607,2656710,0,89623470,1182533267,1
ch-spin,1.25,32,3,92106115,2671949,0,89410787,1185143718,1
ch-spin,1.25,32,4,91619049,2665596,0,88886919,1166547750,1
unchained,1.25,48,0,81932397,6384937,496891,75050569,0,1
unchained,1.25,48,1,81867484,6436863,493681,74936940,0,1
unchained,1.25,48,2,82359642,6443150,475062,75441430,0,1
unchained,1.25,48,3,82072154,7548665,477222,74046267,0,1
unchained,1.25,48,4,81618412,6318941,496175,74803296,0,1
chained,1.25,48,0,255857939,0,0,255857939,0,1
chained,1.25,48,1,249599388,0,0,249599388,0,1
chained,1.25,48,2,264102578,0,0,264102578,0,1
chained,1.25,48,3,251660075,0,0,251660075,0,1
chained,1.25,48,4,255129525,0,0,255129525,0,1
ch-mutex,1.25,48,0,89774531,1649490,0,88112694,3275574220,1
ch-mutex,1.25,48,1,92451599,1651468,0,90697656,3301370085,1
ch-mutex,1.25,48,2,90230786,1666296,0,88533045,3268224299,1
ch-mutex,1.25,48,3,89168271,1621446,0,87510612,3222967484,1
ch-mutex,1.25,48,4,88679855,1635348,0,87001878,3158802479,1
ch-spin,1.25,48,0,94354621,1797432,0,92527035,2018737001,1
ch-spin,1.25,48,1,105612278,1804854,0,103804116,2379331311,1
ch-spin,1.25,48,2,98635794,1817272,0,96823281,2283079353,1
ch-spin,1.25,48,3,92667845,1808304,0,90867087,2081459227,1
ch-spin,1.25,48,4,92368398,1797295,0,90562650,2103336863,1
unchained,1.25,64,0,79961844,5960545,543848,73457451,0,1
unchained,1.25,64,1,79929328,5892241,571547,73465540,0,1
unchained,1.25,64,2,81401913,5987070,548420,74866423,0,1
unchained,1.25,64,3,79887537,5945434,550133,73391970,0,1
unchained,1.25,64,4,79950792,5916809,536577,73497406,0,1
chained,1.25,64,0,265278642,0,0,265278642,0,1
chained,1.25,64,1,261747857,0,0,261747857,0,1
chained,1.25,64,2,255503490,0,0,255503490,0,1
chained,1.25,64,3,256481096,0,0,256481096,0,1
chained,1.25,64,4,262798188,0,0,262798188,0,1
ch-mutex,1.25,64,0,92612793,1249495,0,91306706,4461496222,1
ch-mutex,1.25,64,1,91582665,1255055,0,90202222,4463897818,1
ch-mutex,1.25,64,2,92039046,1246097,0,90641398,4480965890,1
ch-mutex,1.25,64,3,90688103,1258484,0,89300670,4383927498,1
ch-mutex,1.25,64,4,91203901,1246366,0,89831060,4426456140,1
ch-spin,1.25,64,0,109796424,1363282,0,108269497,3070140259,1
ch-spin,1.25,64,1,105905969,1380461,0,104398353,3255621751,1
ch-spin,1.25,64,2,125185922,1382997,0,123816773,4373611794,1
ch-spin,1.25,64,3,93255388,1373889,0,91747146,3010530104,1
ch-spin,1.25,64,4,92122654,1380995,0,90596016,2987221197,1
unchained,1.25,96,0,81038343,6998515,606752,73433076,0,1
unchained,1.25,96,1,79514479,5773848,603355,73137276,0,1
unchained,1.25,96,2,79833104,5652876,602552,73577676,0,1
unchained,1.25,96,3,86720295,9307177,607138,76805980,0,1
unchained,1.25,96,4,85669030,11128677,601036,73939317,0,1
chained,1.25,96,0,250378637,0,0,250378637,0,1
chained,1.25,96,1,249994285,0,0,249994285,0,1
chained,1.25,96,2,516289002,0,0,516289002,0,1
chained,1.25,96,3,252760580,0,0,252760580,0,1
chained,1.25,96,4,249588170,0,0,249588170,0,1
ch-mutex,1.25,96,0,98516922,902598,0,97441267,7504167571,1
ch-mutex,1.25,96,1,114753316,891105,0,113630881,8664292606,1
ch-mutex,1.25,96,2,108261429,880818,0,106356902,7998621716,1
ch-mutex,1.25,96,3,101260771,900167,0,96743850,7471569516,1
ch-mutex,1.25,96,4,98166742,895609,0,97065141,7488167200,1
ch-spin,1.25,96,0,284770177,974851,0,281486374,22305224889,1
ch-spin,1.25,96,1,103725645,969256,0,102532029,5372889887,1
ch-spin,1.25,96,2,108742588,973233,0,107581346,6232016342,1
ch-spin,1.25,96,3,245044619,965149,0,243296498,15965106126,1
ch-spin,1.25,96,4,236712850,971243,0,233857543,16469309489,1
unchained,1.5,1,0,451681354,108227377,106786,343347191,0,1
unchained,1.5,1,1,451053819,105953786,111869,344988164,0,1
unchained,1.5,1,2,452506309,108624934,104875,343776500,0,1
unchained,1.5,1,3,453565168,105921990,104863,347538315,0,1
unchained,1.5,1,4,449828472,105873276,105810,343849386,0,1
chained,1.5,1,0,421306929,0,0,421306929,0,1
chained,1.5,1,1,422914599,0,0,422914599,0,1
chained,1.5,1,2,422122794,0,0,422122794,0,1
chained,1.5,1,3,419318041,0,0,419318041,0,1
chained,1.5,1,4,421296648,0,0,421296648,0,1
ch-mutex,1.5,1,0,446454942,70322594,0,376064429,1940258,1
ch-mutex,1.5,1,1,448054812,70472561,0,377512427,1946825,1
ch-mutex,1.5,1,2,436518407,69962805,0,366479630,1912441,1
ch-mutex,1.5,1,3,443004034,70116818,0,372821567,1907625,1
ch-mutex,1.5,1,4,446832944,70288937,0,376487333,1954657,1
ch-spin,1.5,1,0,447817939,70156517,0,377580930,1629695,1
ch-spin,1.5,1,1,450536459,69978036,0,380483951,1591786,1
ch-spin,1.5,1,2,443216157,70245381,0,372896010,1601782,1
ch-spin,1.5,1,3,450235121,70060789,0,380101643,1607928,1
ch-spin,1.5,1,4,433354060,70068071,0,363224170,1587359,1
unchained,1.5,2,0,269123942,53497552,162736,215463654,0,1
unchained,1.5,2,1,269527283,53657007,160944,215709332,0,1
unchained,1.5,2,2,268919643,53677874,163676,215078093,0,1
unchained,1.5,2,3,269223919,53704731,168530,215350658,0,1
unchained,1.5,2,4,269552891,53661771,167223,215723897,0,1
chained,1.5,2,0,520523987,0,0,520523987,0,1
chained,1.5,2,1,540361025,0,0,540361025,0,1
chained,1.5,2,2,523018187,0,0,523018187,0,1
chained,1.5,2,3,511476682,0,0,511476682,0,1
chained,1.5,2,4,517702369,0,0,517702369,0,1
ch-mutex,1.5,2,0,232863165,35325796,0,197492525,1987421,1
ch-mutex,1.5,2,1,236542232,35189956,0,201373624,2082320,1
ch-mutex,1.5,2,2,231164259,35208137,0,195924967,1891489,1
ch-mutex,1.5,2,3,229442978,35259603,0,194170398,1991091,1
ch-mutex,1.5,2,4,230733573,35381342,0,195320012,1907617,1
ch-spin,1.5,2,0,235327136,35143351,0,200166679,1863466,1
ch-spin,1.5,2,1,241321852,34989512,0,206274058,1950321,1
ch-spin,1.5,2,2,228901367,35170062,0,193698620,1738042,1
ch-spin,1.5,2,3,230839811,35162778,0,195625313,1779085,1
ch-spin,1.5,2,4,230052658,35241826,0,194753152,1759342,1
unchained,1.5,4,0,191247442,27746545,253998,163246899,0,1
unchained,1.5,4,1,191726711,27995289,246660,163484762,0,1
unchained,1.5,4,2,191766756,27867089,247400,163652267,0,1
unchained,1.5,4,3,190912626,27898735,248913,162764978,0,1
unchained,1.5,4,4,191232523,27988132,247769,162996622,0,1
chained,1.5,4,0,398561928,0,0,398561928,0,1
chained,1.5,4,1,376115468,0,0,376115468,0,1
chained,1.5,4,2,405008721,0,0,405008721,0,1
chained,1.5,4,3,408509087,0,0,408509087,0,1
chained,1.5,4,4,410223981,0,0,410223981,0,1
ch-mutex,1.5,4,0,130674760,17612916,0,113089828,29754217,1
ch-mutex,1.5,4,1,131773099,17633469,0,114113963,32546739,1
ch-mutex,1.5,4,2,132441220,17779191,0,114884469,28729090,1
ch-mutex,1.5,4,3,131502325,17767134,0,113932553,29966117,1
ch-mutex,1.5,4,4,130901291,17606877,0,113340431,31846625,1
ch-spin,1.5,4,0,131912390,17641623,0,114378549,24873054,1
ch-spin,1.5,4,1,129383519,17524601,0,111836884,23487478,1
ch-spin,1.5,4,2,128693154,17597687,0,111068079,27398159,1
ch-spin,1.5,4,3,129974544,17541689,0,112463440,29836616,1
ch-spin,1.5,4,4,129484784,17624519,0,111958839,30377827,1
unchained,1.5,8,0,148349977,15005888,301873,133042216,0,1
unchained,1.5,8,1,148468102,15053742,305203,133109157,0,1
unchained,1.5,8,2,148534011,15144777,306560,133082674,0,1
unchained,1.5,8,3,149744500,16552285,326190,132866025,0,1
unchained,1.5,8,4,148212915,15042303,306091,132864521,0,1
chained,1.5,8,0,344849280,0,0,344849280,0,1
chained,1.5,8,1,369435518,0,0,369435518,0,1
chained,1.5,8,2,378283216,0,0,378283216,0,1
chained,1.5,8,3,335339810,0,0,335339810,0,1
chained,1.5,8,4,339836230,0,0,339836230,0,1
ch-mutex,1.5,8,0,120255059,8854631,0,111484231,449206561,1
ch-mutex,1.5,8,1,121072140,8783485,0,112265278,452855813,1
ch-mutex,1.5,8,2,121134783,8846055,0,112373077,454112217,1
ch-mutex,1.5,8,3,122014857,8796579,0,113242731,444814524,1
ch-mutex,1.5,8,4,120240597,8773694,0,111494077,444343991,1
ch-spin,1.5,8,0,149651427,8875132,0,140737334,340204529,1
ch-spin,1.5,8,1,148783746,8773297,0,139971207,352736916,1
ch-spin,1.5,8,2,138348175,8808426,0,129506463,334831113,1
ch-spin,1.5,8,3,141760415,8885910,0,132835940,334119013,1
ch-spin,1.5,8,4,143897586,8804435,0,135057370,357786680,1
unchained,1.5,16,0,131401506,8278950,383629,122738927,0,1
unchained,1.5,16,1,130326179,8267110,366854,121692215,0,1
unchained,1.5,16,2,130209305,8252755,361667,121594883,0,1
unchained,1.5,16,3,130567799,8264612,364315,121938872,0,1
unchained,1.5,16,4,129808194,8333371,364454,121110369,0,1
chained,1.5,16,0,384959915,0,0,384959915,0,1
chained,1.5,16,1,380304199,0,0,380304199,0,1
chained,1.5,16,2,390349052,0,0,390349052,0,1
