design,s,threads,rep,wall_ns,collect_ns,count_ns,insert_ns,latch_ns,ok
ch-mutex,0,16,1,65090692,5973300,0,59418361,4453647,1
ch-mutex,0,16,2,86266928,6101708,0,80373426,4269328,1
ch-mutex,0,16,3,67504546,5979411,0,61750709,4564682,1
ch-mutex,0,16,4,65602374,5946500,0,59973788,4507919,1
ch-spin,0,16,0,84262628,6073425,0,78526074,4621091,1
ch-spin,0,16,1,65575288,6109404,0,59871344,4670664,1
ch-spin,0,16,2,65655712,6141730,0,59821526,4472247,1
ch-spin,0,16,3,65222424,6021688,0,59548718,4699206,1
ch-spin,0,16,4,65266236,5941450,0,59537416,4293676,1
unchained,0,24,0,28732090,6871861,637216,21223013,0,1
unchained,0,24,1,28830207,6875365,661389,21293453,0,1
unchained,0,24,2,28564747,6851417,623474,21089856,0,1
unchained,0,24,3,28508430,6742687,631909,21133834,0,1
unchained,0,24,4,28768958,7039168,618057,21111733,0,1
chained,0,24,0,180066809,0,0,180066809,0,1
chained,0,24,1,179292629,0,0,179292629,0,1
chained,0,24,2,178438303,0,0,178438303,0,1
chained,0,24,3,179648394,0,0,179648394,0,1
chained,0,24,4,178983057,0,0,178983057,0,1
ch-mutex,0,24,0,52732311,4237093,0,48567581,6113055,1
ch-mutex,0,24,1,52865479,4279040,0,48747539,6277047,1
ch-mutex,0,24,2,53558710,4255077,0,49395071,6243664,1
ch-mutex,0,24,3,52444669,4218132,0,48408205,7625957,1
ch-mutex,0,24,4,52846163,4232079,0,48697484,6885052,1
ch-spin,0,24,0,53646000,4245930,0,49397665,5234695,1
ch-spin,0,24,1,53778080,4281799,0,49634373,6126464,1
ch-spin,0,24,2,52264621,4280484,0,48069359,6364109,1
ch-spin,0,24,3,53669868,4326461,0,49549513,7059443,1
ch-spin,0,24,4,53933747,4279023,0,49703900,5895462,1
unchained,0,32,0,25015514,6701159,550590,17763765,0,1
unchained,0,32,1,24953316,6671603,558502,17723211,0,1
unchained,0,32,2,25000068,6691006,535518,17773544,0,1
unchained,0,32,3,24947142,6623653,557088,17766401,0,1
unchained,0,32,4,25210172,6803223,555833,17851116,0,1
chained,0,32,0,133800937,0,0,133800937,0,1
chained,0,32,1,131563266,0,0,131563266,0,1
chained,0,32,2,133020682,0,0,133020682,0,1
chained,0,32,3,132292857,0,0,132292857,0,1
chained,0,32,4,132534620,0,0,132534620,0,1
ch-mutex,0,32,0,53888358,3416599,0,50593189,13062511,1
ch-mutex,0,32,1,55094525,3403447,0,51783976,13960189,1
ch-mutex,0,32,2,52792162,3417168,0,49447795,12701219,1
ch-mutex,0,32,3,49066505,3381245,0,45773022,12686187,1
ch-mutex,0,32,4,55356032,3457240,0,52042206,12169348,1
ch-spin,0,32,0,55457888,3503028,0,52091268,10774937,1
ch-spin,0,32,1,55006837,3418612,0,51722658,10522692,1
ch-spin,0,32,2,55220930,3440628,0,51900028,11278863,1
ch-spin,0,32,3,51961499,3414332,0,48574723,11252618,1
ch-spin,0,32,4,54670127,3436047,0,51431158,10919515,1
unchained,0,48,0,22940169,6513169,658243,15768757,0,1
unchained,0,48,1,23109678,6612958,642106,15854614,0,1
unchained,0,48,2,23008154,6575350,643328,15789476,0,1
unchained,0,48,3,22967537,6543465,645393,15778679,0,1
unchained,0,48,4,23018094,6545721,655041,15817332,0,1
chained,0,48,0,90608313,0,0,90608313,0,1
chained,0,48,1,90589096,0,0,90589096,0,1
chained,0,48,2,132477673,0,0,132477673,0,1
chained,0,48,3,90516439,0,0,90516439,0,1
chained,0,48,4,90663208,0,0,90663208,0,1
ch-mutex,0,48,0,45717998,2148412,0,43626412,92281627,1
ch-mutex,0,48,1,45543950,2197132,0,43431310,94611655,1
ch-mutex,0,48,2,46114327,2183793,0,43912353,94071449,1
ch-mutex,0,48,3,46208378,2172228,0,43961249,84619112,1
ch-mutex,0,48,4,45508564,2153583,0,43335896,92700035,1
ch-spin,0,48,0,45991985,2190177,0,43766500,93887305,1
ch-spin,0,48,1,46545781,2173042,0,44321979,94758498,1
ch-spin,0,48,2,45970675,2159094,0,43821272,94165596,1
ch-spin,0,48,3,189464660,2125790,0,187290137,1045236694,1
ch-spin,0,48,4,200497252,2222217,0,197175851,1027749212,1
unchained,0,64,0,21142665,6343144,567974,14231547,0,1
unchained,0,64,1,21039809,6349601,573234,14116974,0,1
unchained,0,64,2,20906375,6276450,572225,14057700,0,1
unchained,0,64,3,21104807,6344573,565420,14194814,0,1
unchained,0,64,4,21014711,6328206,572669,14113836,0,1
chained,0,64,0,65404412,0,0,65404412,0,1
chained,0,64,1,65676030,0,0,65676030,0,1
chained,0,64,2,65572455,0,0,65572455,0,1
chained,0,64,3,66013195,0,0,66013195,0,1
chained,0,64,4,65946394,0,0,65946394,0,1
ch-mutex,0,64,0,48634054,1808868,0,46854815,129577249,1
ch-mutex,0,64,1,71639395,1792270,0,67635540,293505866,1
ch-mutex,0,64,2,68825739,1838366,0,65548623,323092539,1
ch-mutex,0,64,3,53788055,1854570,0,50425497,149022635,1
ch-mutex,0,64,4,48849279,1842171,0,46959816,121674578,1
ch-spin,0,64,0,49335082,1813315,0,47524044,133706014,1
ch-spin,0,64,1,49770738,1820983,0,47946544,141155227,1
ch-spin,0,64,2,49473791,1846420,0,47668370,140671655,1
ch-spin,0,64,3,49300659,1858848,0,47429314,135973275,1
ch-spin,0,64,4,49059905,1854298,0,47187917,139189579,1
unchained,0,96,0,26936396,9556306,679767,16700323,0,1
unchained,0,96,1,25002242,8037455,678677,16286110,0,1
unchained,0,96,2,25416280,7336072,690220,17389988,0,1
unchained,0,96,3,19425053,5716657,655412,13052984,0,1
unchained,0,96,4,19351767,5709088,670752,12971927,0,1
chained,0,96,0,325779668,0,0,325779668,0,1
chained,0,96,1,45989231,0,0,45989231,0,1
chained,0,96,2,46133435,0,0,46133435,0,1
chained,0,96,3,46108752,0,0,46108752,0,1
chained,0,96,4,324786695,0,0,324786695,0,1
ch-mutex,0,96,0,54974430,1226200,0,53732685,517135764,1
ch-mutex,0,96,1,54539797,1265358,0,53067192,502214774,1
ch-mutex,0,96,2,53832140,1246766,0,52506493,505900851,1
ch-mutex,0,96,3,68757165,1226068,0,65641307,656659773,1
ch-mutex,0,96,4,71774027,1278914,0,68864057,723823453,1
ch-spin,0,96,0,53856896,1273263,0,52645103,500603355,1
ch-spin,0,96,1,53316612,1249712,0,51866221,485659592,1
ch-spin,0,96,2,77099026,1308722,0,74093763,895350074,1
ch-spin,0,96,3,75169174,5985414,0,71759192,817428613,1
ch-spin,0,96,4,57808379,1244380,0,55002895,541905092,1
unchained,0.5,1,0,556244931,90941330,123775,465179826,0,1
unchained,0.5,1,1,554642638,90782814,121996,463737828,0,1
unchained,0.5,1,2,556250713,91128082,122848,464999783,0,1
unchained,0.5,1,3,557592794,91274000,122166,466196628,0,1
unchained,0.5,1,4,559855796,91109382,126092,468620322,0,1
chained,0.5,1,0,3703485768,0,0,3703485768,0,1
chained,0.5,1,1,3691752564,0,0,3691752564,0,1
chained,0.5,1,2,3598072926,0,0,3598072926,0,1
chained,0.5,1,3,3619851449,0,0,3619851449,0,1
chained,0.5,1,4,3669936070,0,0,3669936070,0,1
ch-mutex,0.5,1,0,1771389699,76196350,0,1695103359,1886157,1
ch-mutex,0.5,1,1,1774553085,76045239,0,1698429423,1892350,1
ch-mutex,0.5,1,2,1771578201,76479600,0,1695014504,1883656,1
ch-mutex,0.5,1,3,1766707515,75971929,0,1690671996,1896050,1
ch-mutex,0.5,1,4,1788560823,76589512,0,1711886312,1899632,1
ch-spin,0.5,1,0,1755876525,74771758,0,1681017211,1565275,1
ch-spin,0.5,1,1,1756190136,74627984,0,1681469144,1559621,1
ch-spin,0.5,1,2,1766789876,74598000,0,1692125643,1561542,1
ch-spin,0.5,1,3,1773755391,75268118,0,1698394127,1560866,1
ch-spin,0.5,1,4,1759317175,74423889,0,1684802926,1559926,1
unchained,0.5,2,0,284961145,46117580,223119,238620446,0,1
unchained,0.5,2,1,285702329,46397237,216278,239088814,0,1
unchained,0.5,2,2,284522343,45980297,219295,238322751,0,1
unchained,0.5,2,3,285247541,45860975,239268,239147298,0,1
