point_id	key_config	dups	hit_rate	build_rows	threads	status	candidate_result	baseline_result	seconds
1e8_8B_u64_x8_h0.05_t32	8B_u64	x8	0.05	100000000	32	PASS	80000000\t8583262128735160984\t3805976504944111758\n	80000000\t8583262128735160984\t3805976504944111758\n	11.15
1e8_8B_u64_unique_h1.00_t32	8B_u64	unique	1.00	100000000	32	PASS	200000000\t72769023373634689\t5273693763772768133\n	200000000\t72769023373634689\t5273693763772768133\n	14.38
1e8_12B_u64u32_skew_h0.50_t32	12B_u64u32	skew	0.50	100000000	32	PASS	800000000\t17063867210513420458\t2401143794400045842\n	800000000\t17063867210513420458\t2401143794400045842\n	9.64
1e8_64B_fs64_unique_h0.50_t32	64B_fs64	unique	0.50	100000000	32	PASS	100000000\t9176728753949957709\t12518041622592775651\n	100000000\t9176728753949957709\t12518041622592775651\n	33.24
