point_id	key_config	dups	hit_rate	build_rows	threads	status	candidate_result	baseline_result	seconds
1e5_16B_2xu64_x8_h0.50_t32	16B_2xu64	x8	0.50	100000	32	PASS	800000\t5087699471622728575\t5403731444340113823\n	800000\t5087699471622728575\t5403731444340113823\n	0.21
1e5_8B_u64_unique_h1.00_t32	8B_u64	unique	1.00	100000	32	PASS	200000\t1083901734275433875\t8452977623593523093\n	200000\t1083901734275433875\t8452977623593523093\n	0.21
1e5_32B_fs32_skew_h0.05_t32	32B_fs32	skew	0.05	100000	32	PASS	80000\t409664254973624197\t6106886362842198089\n	80000\t409664254973624197\t6106886362842198089\n	0.21
