point_id	key_config	dups	hit_rate	build_rows	threads	status	candidate_result	baseline_result	seconds
1e7_4B_u32_x8_h0.50_t32	4B_u32	x8	0.50	10000000	32	PASS	80000000\t10096040743935180281\t6380775995557860393\n	80000000\t10096040743935180281\t6380775995557860393\n	0.79
1e7_8B_u64_unique_h1.00_t32	8B_u64	unique	1.00	10000000	32	PASS	20000000\t522473968066351157\t16936281921857991153\n	20000000\t522473968066351157\t16936281921857991153\n	1.38
1e7_16B_fs16_x8_h0.50_t32	16B_fs16	x8	0.50	10000000	32	PASS	80000000\t11851922000853922126\t8611910512032027052\n	80000000\t11851922000853922126\t8611910512032027052\n	1.43
1e7_32B_4xu64_skew_h0.05_t32	32B_4xu64	skew	0.05	10000000	32	PASS	8000000\t12391315329734101167\t8185501176146210353\n	8000000\t12391315329734101167\t8185501176146210353\n	1.57
1e7_64B_8xu64_skew_h1.00_t32	64B_8xu64	skew	1.00	10000000	32	PASS	160000000\t2820920115431369845\t2964102464968077901\n	160000000\t2820920115431369845\t2964102464968077901\n	2.31
1e7_64B_fs64_unique_h0.50_t32	64B_fs64	unique	0.50	10000000	32	PASS	10000000\t4065794851301805321\t2550501691709890689\n	10000000\t4065794851301805321\t2550501691709890689\n	3.15
