point_id	key_config	dups	hit_rate	build_rows	threads	status	candidate_result	baseline_result	seconds
1e5_8B_u64_x8_h0.05_t32	8B_u64	x8	0.05	100000	32	PASS	80000\t14637090696715834797\t2210469344846930467\n	80000\t14637090696715834797\t2210469344846930467\n	0.24
1e5_8B_u64_skew_h1.00_t1	8B_u64	skew	1.00	100000	1	PASS	1599748\t8356568152455847776\t11146582142295452132\n	1599748\t8356568152455847776\t11146582142295452132\n	0.29
1e5_8B_u64_skew_h1.00_t32	8B_u64	skew	1.00	100000	32	PASS	1599748\t8356568152455847776\t11146582142295452132\n	1599748\t8356568152455847776\t11146582142295452132\n	0.28
1e5_8B_u64_skew_h0.50_t1	8B_u64	skew	0.50	100000	1	PASS	799876\t155253779406337662\t15257864880244609968\n	799876\t155253779406337662\t15257864880244609968\n	0.24
1e5_8B_u64_skew_h0.05_t1	8B_u64	skew	0.05	100000	1	PASS	80000\t10676883111619907047\t9034577276898879271\n	80000\t10676883111619907047\t9034577276898879271\n	0.20
1e5_8B_u64_skew_h0.50_t32	8B_u64	skew	0.50	100000	32	PASS	799876\t155253779406337662\t15257864880244609968\n	799876\t155253779406337662\t15257864880244609968\n	0.27
1e5_8B_u64_skew_h0.05_t32	8B_u64	skew	0.05	100000	32	PASS	80000\t10676883111619907047\t9034577276898879271\n	80000\t10676883111619907047\t9034577276898879271\n	0.25
1e5_16B_fs16_unique_h1.00_t1	16B_fs16	unique	1.00	100000	1	PASS	200000\t9876134943267982519\t10876745938256732237\n	200000\t9876134943267982519\t10876745938256732237\n	0.26
1e5_16B_fs16_unique_h1.00_t32	16B_fs16	unique	1.00	100000	32	PASS	200000\t9876134943267982519\t10876745938256732237\n	200000\t9876134943267982519\t10876745938256732237\n	0.27
1e5_16B_fs16_unique_h0.50_t1	16B_fs16	unique	0.50	100000	1	PASS	100000\t9392413695864864952\t1762365360528509578\n	100000\t9392413695864864952\t1762365360528509578\n	0.25
1e5_16B_fs16_unique_h0.05_t1	16B_fs16	unique	0.05	100000	1	PASS	10000\t10879699968479294658\t15030546588752758614\n	10000\t10879699968479294658\t15030546588752758614\n	0.24
1e5_16B_fs16_unique_h0.05_t32	16B_fs16	unique	0.05	100000	32	PASS	10000\t10879699968479294658\t15030546588752758614\n	10000\t10879699968479294658\t15030546588752758614\n	0.30
1e5_16B_fs16_unique_h0.50_t32	16B_fs16	unique	0.50	100000	32	PASS	100000\t9392413695864864952\t1762365360528509578\n	100000\t9392413695864864952\t1762365360528509578\n	0.32
1e5_16B_fs16_x8_h1.00_t1	16B_fs16	x8	1.00	100000	1	PASS	1600000\t970384254199953572\t7772941473218325508\n	1600000\t970384254199953572\t7772941473218325508\n	0.29
