probe_ab_report: 1 file(s), 8112 timed-run rows, arms present [('baseline', None), ('candidate', None)]
arm A = 'baseline'   arm B = 'candidate'   metrics = ['probe_cost', 'projection_cost']

=== Unit 3 jbmt real tier a: per-metric verdicts (band = max(3%, per-arm relative spread), evaluated per metric) ===

probe_cost: verdicts 368   win=161 tie=51 loss=156   no-verdict=8
  aggregate 230,541.8 ms -> 210,259.1 ms (-8.8%)
  median per-cell delta +0.4%
  LOSSES on probe_cost: 156
    cell                                                 A ms       B ms    delta   band         disp A->B (ms)       lookup A->B (ms)      probe tot A->B (ms)
    tpcds__web_returns_wr_refunded_addr_sk__customer_address_ca_address_sk__T16__tiera       35.7 ->       23.0   -35.6% (band 3.0%)
    tpch__lineitem_l_orderkey__orders_o_orderkey__T16__tiera    4,605.5 ->    2,968.5   -35.5% (band 3.4%)
    tpcds__catalog_returns_cr_returning_addr_sk__customer_address_ca_address_sk__T16__tiera       71.7 ->       46.3   -35.4% (band 3.0%)
    tpcds__web_sales_ws_ship_addr_sk__customer_address_ca_address_sk__T16__tiera      343.3 ->      222.1   -35.3% (band 3.0%)
    tpcds__web_returns_wr_returning_addr_sk__customer_address_ca_address_sk__T16__tiera       35.4 ->       23.0   -35.1% (band 3.0%)
    tpch__partsupp_ps_partkey__part_p_partkey__T16__tiera      497.5 ->      323.2   -35.0% (band 4.4%)
    tpch__lineitem_l_partkey__part_p_partkey__T96__tiera    6,969.0 ->    4,529.2   -35.0% (band 3.0%)
    tpcds__web_sales_ws_bill_addr_sk__customer_address_ca_address_sk__T16__tiera      341.6 ->      223.2   -34.7% (band 3.0%)
    tpcds__customer_c_current_addr_sk__customer_address_ca_address_sk__T96__tiera        8.2 ->        5.4   -34.5% (band 3.2%)
    tpcds__catalog_sales_cs_ship_addr_sk__customer_address_ca_address_sk__T16__tiera      682.8 ->      450.4   -34.0% (band 3.0%)
    tpcds__catalog_sales_cs_bill_addr_sk__customer_address_ca_address_sk__T16__tiera      683.8 ->      453.1   -33.7% (band 3.0%)
    tpcds__inventory_inv_item_sk__catalog_sales_cs_item_sk__T96__tiera    1,777.0 ->    1,198.1   -32.6% (band 3.0%)
    tpcds__store_sales_ss_addr_sk__customer_address_ca_address_sk__T16__tiera    1,344.0 ->      906.4   -32.6% (band 3.0%)
    job__movie_info_movie_id__movie_keyword_movie_id__T96__tiera      487.9 ->      332.6   -31.8% (band 3.0%)
    tpcds__customer_c_current_addr_sk__customer_address_ca_address_sk__T16__tiera        7.8 ->        5.3   -31.7% (band 3.0%)
    tpch__partsupp_ps_suppkey__supplier_s_suppkey__T96__tiera      644.0 ->      453.4   -29.6% (band 3.0%)
    job__cast_info_movie_id__movie_keyword_movie_id__T96__tiera      908.2 ->      642.7   -29.2% (band 3.0%)
    stackoverflow__comments_UserId__users_Id__T16__tiera    1,403.9 ->    1,010.3   -28.0% (band 3.0%)
    tpch__orders_o_custkey__customer_c_custkey__left__T96__tiera    2,327.0 ->    1,679.1   -27.8% (band 3.0%)
    tpcds__catalog_returns_cr_returning_addr_sk__customer_address_ca_address_sk__T96__tiera       89.4 ->       64.5   -27.8% (band 3.0%)
    tpcds__web_returns_wr_returning_addr_sk__customer_address_ca_address_sk__T96__tiera       44.4 ->       32.3   -27.4% (band 3.0%)
    stackoverflow__posts_OwnerUserId__users_Id__T16__tiera    1,093.7 ->      795.5   -27.3% (band 3.0%)
    tpch__lineitem_l_orderkey__orders_o_orderkey__left_semi__T96__tiera    4,630.6 ->    3,369.8   -27.2% (band 3.0%)
    job__movie_keyword_keyword_id__keyword_id__T16__tiera       37.7 ->       27.5   -27.1% (band 3.6%)
    tpcds__customer_address_ca_zip__store_s_zip__filtered__T16__tiera        6.6 ->        4.9   -26.8% (band 3.0%)
    tpcds__web_returns_wr_refunded_addr_sk__customer_address_ca_address_sk__T96__tiera       43.9 ->       32.2   -26.6% (band 3.0%)
    tpch__lineitem_l_partkey__partsupp_ps_partkey__composite__T96__tiera    8,860.0 ->    6,505.1   -26.6% (band 3.0%)
    tpcds__web_sales_ws_sold_time_sk__time_dim_t_time_sk__T96__tiera      450.4 ->      331.0   -26.5% (band 3.0%)
    job__movie_link_link_type_id__link_type_id__T96__tiera        0.2 ->        0.2   -26.1% (band 16.7%)
    tpcds__inventory_inv_item_sk__item_i_item_sk__T16__tiera      394.3 ->      291.7   -26.0% (band 3.0%)
    tpcds__catalog_sales_cs_sold_time_sk__time_dim_t_time_sk__T96__tiera      897.1 ->      664.1   -26.0% (band 3.0%)
    tpch__orders_o_custkey__customer_c_custkey__T96__tiera    2,147.5 ->    1,595.9   -25.7% (band 3.0%)
    tpch__lineitem_l_orderkey__orders_o_orderkey__left_semi__T16__tiera    3,091.3 ->    2,309.5   -25.3% (band 3.0%)
    job__movie_keyword_keyword_id__keyword_id__T96__tiera       42.9 ->       32.1   -25.3% (band 5.6%)
    tpcds__customer_address_ca_zip__store_s_zip__T96__tiera        5.4 ->        4.1   -25.1% (band 3.0%)
    job__cast_info_person_role_id__char_name_id__T96__tiera      363.1 ->      273.2   -24.8% (band 3.0%)
    tpcds__web_sales_ws_sold_time_sk__time_dim_t_time_sk__T16__tiera      392.7 ->      295.7   -24.7% (band 3.0%)
    tpcds__catalog_sales_cs_sold_time_sk__time_dim_t_time_sk__T16__tiera      783.9 ->      593.0   -24.3% (band 3.0%)
    tpcds__web_sales_ws_sold_date_sk__date_dim_d_date_sk__T96__tiera      326.8 ->      248.0   -24.1% (band 8.8%)
    tpcds__web_sales_ws_ship_addr_sk__customer_address_ca_address_sk__T96__tiera      405.8 ->      309.9   -23.6% (band 3.0%)
    tpcds__web_sales_ws_bill_addr_sk__customer_address_ca_address_sk__T96__tiera      405.0 ->      309.5   -23.6% (band 3.0%)
    job__movie_info_movie_id__movie_info_idx_movie_id__T96__tiera      319.2 ->      244.8   -23.3% (band 3.0%)
    job__cast_info_movie_id__movie_keyword_movie_id__T16__tiera      629.3 ->      483.6   -23.2% (band 3.0%)
    stackoverflow__badges_UserId__users_Id__T16__tiera      620.8 ->      477.2   -23.1% (band 3.0%)
    job__cast_info_movie_id__movie_info_idx_movie_id__T16__tiera      579.1 ->      445.5   -23.1% (band 3.0%)
    tpch__lineitem_l_suppkey__supplier_s_suppkey__T16__tiera    2,749.8 ->    2,121.7   -22.8% (band 3.0%)
    tpcds__web_sales_ws_ship_date_sk__date_dim_d_date_sk__T96__tiera      315.6 ->      243.6   -22.8% (band 9.8%)
    job__movie_info_movie_id__movie_keyword_movie_id__T16__tiera      247.3 ->      191.1   -22.7% (band 3.0%)
    job__cast_info_person_role_id__char_name_id__T16__tiera      230.6 ->      178.9   -22.4% (band 3.0%)
    job__movie_companies_company_id__company_name_id__T16__tiera       25.9 ->       20.1   -22.3% (band 5.5%)
    job__movie_companies_company_id__company_name_id__T96__tiera       33.7 ->       26.2   -22.3% (band 3.4%)
    tpcds__customer_c_first_shipto_date_sk__date_dim_d_date_sk__T96__tiera        7.7 ->        5.9   -22.2% (band 12.5%)
    tpcds__catalog_sales_cs_ship_customer_sk__customer_c_customer_sk__T16__tiera      559.3 ->      435.2   -22.2% (band 3.0%)
    tpcds__catalog_sales_cs_bill_customer_sk__customer_c_customer_sk__T16__tiera      555.7 ->      432.6   -22.2% (band 3.0%)
    tpcds__catalog_sales_cs_bill_cdemo_sk__customer_demographics_cd_demo_sk__T96__tiera    1,159.8 ->      908.1   -21.7% (band 3.0%)
    tpcds__store_sales_ss_cdemo_sk__customer_demographics_cd_demo_sk__T96__tiera    2,334.7 ->    1,829.6   -21.6% (band 3.0%)
    tpcds__catalog_returns_cr_returned_date_sk__date_dim_d_date_sk__T96__tiera       61.1 ->       48.3   -20.9% (band 14.2%)
    tpcds__web_sales_ws_bill_customer_sk__customer_c_customer_sk__T16__tiera      273.6 ->      216.8   -20.8% (band 3.0%)
    tpcds__store_sales_ss_customer_sk__customer_c_customer_sk__T16__tiera    1,087.3 ->      862.1   -20.7% (band 3.0%)
    job__movie_info_movie_id__movie_info_idx_movie_id__T16__tiera      216.5 ->      171.9   -20.6% (band 3.0%)
    tpch__lineitem_l_suppkey__supplier_s_suppkey__T96__tiera    4,109.5 ->    3,264.6   -20.6% (band 3.0%)
    stackoverflow__votes_PostId__posts_Id__T16__tiera    3,132.5 ->    2,490.7   -20.5% (band 3.0%)
    tpcds__store_sales_ss_sold_time_sk__time_dim_t_time_sk__T96__tiera    1,667.4 ->    1,330.6   -20.2% (band 3.0%)
    job__cast_info_movie_id__movie_info_idx_movie_id__T96__tiera      689.6 ->      551.3   -20.1% (band 3.0%)
    job__cast_info_movie_id__title_id__T96__tiera       849.3 ->      679.0   -20.0% (band 3.0%)
    tpcds__catalog_sales_cs_ship_date_sk__date_dim_d_date_sk__T96__tiera      616.7 ->      498.8   -19.1% (band 9.2%)
    job__person_info_person_id__aka_name_person_id__T16__tiera       34.4 ->       27.9   -18.9% (band 3.0%)
    job__movie_info_movie_id__aka_title_movie_id__T16__tiera      198.0 ->      161.4   -18.5% (band 3.0%)
    tpcds__customer_c_first_sales_date_sk__date_dim_d_date_sk__T96__tiera        7.8 ->        6.4   -18.0% (band 11.2%)
    tpcds__store_sales_ss_item_sk__store_returns_sr_item_sk__composite__T16__tiera    1,993.8 ->    1,639.7   -17.8% (band 3.0%)
    job__person_info_person_id__aka_name_person_id__T96__tiera       58.8 ->       48.4   -17.6% (band 3.0%)
    tpcds__web_sales_ws_bill_customer_sk__customer_c_customer_sk__T96__tiera      424.3 ->      349.8   -17.6% (band 3.1%)
    job__movie_info_movie_id__title_id__T16__tiera      189.7 ->      157.3   -17.1% (band 3.0%)
    job__title_id__complete_cast_movie_id__T16__tiera       29.3 ->       24.3   -17.1% (band 3.0%)
    tpcds__web_returns_wr_returned_date_sk__date_dim_d_date_sk__T96__tiera       30.0 ->       25.0   -16.7% (band 10.0%)
    tpcds__catalog_sales_cs_item_sk__catalog_returns_cr_item_sk__composite__T16__tiera      964.2 ->      803.6   -16.7% (band 3.0%)
    job__cast_info_movie_id__complete_cast_movie_id__T16__tiera      464.8 ->      387.6   -16.6% (band 3.0%)
    job__title_id__aka_title_movie_id__T16__tiera        33.7 ->       28.1   -16.5% (band 3.0%)
    tpcds__catalog_sales_cs_bill_cdemo_sk__customer_demographics_cd_demo_sk__T16__tiera      679.7 ->      567.9   -16.5% (band 3.0%)
    tpcds__store_returns_sr_cdemo_sk__customer_demographics_cd_demo_sk__T96__tiera      205.4 ->      172.1   -16.2% (band 3.0%)
    job__movie_info_movie_id__title_id__T96__tiera      383.5 ->      322.4   -15.9% (band 4.6%)
    stackoverflow__comments_UserId__users_Id__T96__tiera    1,518.6 ->    1,277.3   -15.9% (band 3.9%)
    tpcds__store_sales_ss_sold_time_sk__time_dim_t_time_sk__T16__tiera    1,425.1 ->    1,199.7   -15.8% (band 3.0%)
    job__cast_info_person_id__name_id__T16__tiera       302.4 ->      254.9   -15.7% (band 3.0%)
    tpcds__inventory_inv_item_sk__item_i_item_sk__T96__tiera      443.9 ->      374.6   -15.6% (band 3.0%)
    job__movie_companies_movie_id__movie_info_idx_movie_id__T16__tiera       37.3 ->       31.5   -15.5% (band 3.0%)
    job__cast_info_movie_id__title_id__filtered__T16__tiera      479.1 ->      405.8   -15.3% (band 3.0%)
    job__title_id__complete_cast_movie_id__T96__tiera       31.1 ->       26.3   -15.2% (band 3.0%)
    tpcds__store_returns_sr_returned_date_sk__date_dim_d_date_sk__T96__tiera      131.4 ->      111.6   -15.1% (band 10.8%)
    job__movie_info_movie_id__movie_companies_movie_id__T16__tiera      216.4 ->      184.3   -14.8% (band 3.0%)
    tpch__orders_o_custkey__customer_c_custkey__filtered__T16__tiera      854.1 ->      727.5   -14.8% (band 3.0%)
    tpch__nation_n_regionkey__region_r_regionkey__T96__tiera        0.0 ->        0.0   -14.8% (band 14.2%)
    tpcds__store_sales_ss_cdemo_sk__customer_demographics_cd_demo_sk__T16__tiera    1,313.1 ->    1,119.3   -14.8% (band 3.0%)
    job__cast_info_movie_id__movie_info_movie_id__T16__tiera      752.4 ->      641.9   -14.7% (band 3.0%)
    tpcds__catalog_sales_cs_ship_addr_sk__customer_address_ca_address_sk__T96__tiera      804.9 ->      687.8   -14.6% (band 3.0%)
    stackoverflow__comments_PostId__posts_Id__T16__tiera    1,589.7 ->    1,359.6   -14.5% (band 3.0%)
    job__movie_companies_movie_id__movie_info_idx_movie_id__T96__tiera       47.4 ->       40.7   -14.1% (band 3.0%)
    tpch__partsupp_ps_suppkey__supplier_s_suppkey__T16__tiera      312.8 ->      268.8   -14.1% (band 5.3%)
    tpcds__catalog_sales_cs_bill_addr_sk__customer_address_ca_address_sk__T96__tiera      792.7 ->      681.0   -14.1% (band 3.0%)
    job__cast_info_movie_id__title_id__filtered__T96__tiera      673.2 ->      579.4   -13.9% (band 5.2%)
    job__movie_info_movie_id__movie_companies_movie_id__T96__tiera      437.2 ->      376.4   -13.9% (band 4.9%)
    tpcds__store_sales_ss_customer_sk__customer_c_customer_sk__left_semi__T16__tiera      869.1 ->      748.5   -13.9% (band 3.0%)
    job__name_id__aka_name_person_id__T96__tiera         86.5 ->       74.5   -13.9% (band 3.0%)
    stackoverflow__posts_OwnerUserId__users_Id__T96__tiera    1,389.1 ->    1,197.5   -13.8% (band 4.5%)
    coffeeshop__fact_sales_location_id__dim_locations_location_id__T16__tiera    5,769.6 ->    4,981.9   -13.7% (band 3.0%)
    tpch__nation_n_regionkey__region_r_regionkey__T16__tiera        0.0 ->        0.0   -13.6% (band 6.5%)
    job__movie_info_movie_id__aka_title_movie_id__T96__tiera      241.1 ->      208.3   -13.6% (band 3.0%)
    job__cast_info_movie_id__complete_cast_movie_id__T96__tiera      511.4 ->      442.2   -13.5% (band 3.0%)
    job__title_id__movie_info_idx_movie_id__T16__tiera       37.5 ->       32.4   -13.5% (band 3.0%)
    tpcds__web_sales_ws_sold_date_sk__date_dim_d_date_sk__T16__tiera      236.2 ->      205.2   -13.1% (band 6.2%)
    job__movie_companies_movie_id__aka_title_movie_id__T16__tiera       32.7 ->       28.4   -13.0% (band 3.0%)
    tpcds__catalog_sales_cs_ship_customer_sk__customer_c_customer_sk__T96__tiera      851.3 ->      740.4   -13.0% (band 3.0%)
    job__title_id__aka_title_movie_id__T96__tiera        35.5 ->       30.9   -12.9% (band 3.0%)
    tpch__orders_o_custkey__customer_c_custkey__filtered__T96__tiera    1,361.0 ->    1,194.9   -12.2% (band 3.0%)
    job__movie_info_movie_id__title_id__filtered__T16__tiera      175.6 ->      154.2   -12.2% (band 3.0%)
    job__name_id__aka_name_person_id__T16__tiera         59.0 ->       51.8   -12.1% (band 3.0%)
    tpcds__customer_address_ca_zip__store_s_zip__filtered__T96__tiera        5.5 ->        4.9   -11.9% (band 4.5%)
    tpcds__web_sales_ws_item_sk__web_returns_wr_item_sk__composite__T16__tiera      443.4 ->      391.4   -11.7% (band 3.0%)
    tpcds__catalog_sales_cs_sold_date_sk__date_dim_d_date_sk__T16__tiera      456.3 ->      403.1   -11.7% (band 6.3%)
    tpcds__web_sales_ws_ship_date_sk__date_dim_d_date_sk__T16__tiera      234.8 ->      207.9   -11.5% (band 6.0%)
    tpcds__store_sales_ss_item_sk__store_returns_sr_item_sk__composite__T96__tiera    4,191.7 ->    3,713.6   -11.4% (band 3.0%)
    tpch__lineitem_l_orderkey__orders_o_orderkey__T96__tiera    6,778.5 ->    6,042.3   -10.9% (band 3.0%)
    coffeeshop__fact_sales_location_id__dim_locations_location_id__T96__tiera    7,067.3 ->    6,304.9   -10.8% (band 3.0%)
    job__movie_info_movie_id__complete_cast_movie_id__T16__tiera      159.6 ->      142.5   -10.7% (band 3.0%)
    tpcds__store_sales_ss_addr_sk__customer_address_ca_address_sk__T96__tiera    1,558.0 ->    1,391.8   -10.7% (band 3.0%)
    tpcds__catalog_sales_cs_bill_customer_sk__customer_c_customer_sk__T96__tiera      836.3 ->      747.2   -10.7% (band 3.0%)
    job__movie_companies_movie_id__aka_title_movie_id__T96__tiera       37.4 ->       33.5   -10.4% (band 3.0%)
    job__cast_info_movie_id__movie_companies_movie_id__T96__tiera      771.4 ->      692.6   -10.2% (band 3.0%)
    tpcds__store_sales_ss_store_sk__store_s_store_sk__T16__tiera      524.7 ->      471.5   -10.1% (band 3.0%)
    job__movie_info_info_type_id__info_type_id__T16__tiera       84.0 ->       75.7    -9.9% (band 3.0%)
    tpcds__catalog_sales_cs_item_sk__catalog_returns_cr_item_sk__composite__T96__tiera    1,981.3 ->    1,786.1    -9.9% (band 3.0%)
    job__title_id__movie_info_idx_movie_id__T96__tiera       42.9 ->       38.8    -9.7% (band 3.0%)
    tpch__lineitem_l_partkey__part_p_partkey__filtered__T16__tiera    2,643.4 ->    2,394.2    -9.4% (band 3.0%)
    tpcds__store_returns_sr_cdemo_sk__customer_demographics_cd_demo_sk__T16__tiera      130.4 ->      118.1    -9.4% (band 3.0%)
    tpcds__store_sales_ss_customer_sk__customer_c_customer_sk__T96__tiera    1,654.5 ->    1,500.0    -9.3% (band 3.0%)
    job__person_info_info_type_id__info_type_id__T16__tiera       19.0 ->       17.2    -9.3% (band 3.0%)
    tpcds__store_returns_sr_store_sk__store_s_store_sk__T16__tiera       52.3 ->       47.4    -9.3% (band 3.0%)
    stackoverflow__badges_UserId__users_Id__T96__tiera    1,027.0 ->      934.2    -9.0% (band 4.1%)
    tpcds__web_sales_ws_item_sk__web_returns_wr_item_sk__composite__T96__tiera      887.5 ->      808.3    -8.9% (band 3.0%)
    job__cast_info_movie_id__title_id__T16__tiera       484.8 ->      441.9    -8.8% (band 3.0%)
    job__movie_companies_movie_id__title_id__T16__tiera       32.3 ->       29.4    -8.8% (band 5.2%)
    tpcds__store_sales_ss_customer_sk__customer_c_customer_sk__left_semi__T96__tiera    1,459.3 ->    1,332.1    -8.7% (band 3.0%)
    job__movie_companies_movie_id__complete_cast_movie_id__T16__tiera       27.0 ->       24.6    -8.7% (band 3.0%)
    job__movie_info_movie_id__title_id__filtered__T96__tiera      282.8 ->      258.9    -8.5% (band 3.0%)
    tpcds__store_sales_ss_sold_date_sk__date_dim_d_date_sk__T96__tiera    1,220.2 ->    1,118.2    -8.4% (band 5.4%)
    job__movie_companies_movie_id__title_id__filtered__T16__tiera       28.6 ->       26.4    -7.9% (band 3.0%)
    job__movie_info_idx_info_type_id__info_type_id__T16__tiera        7.4 ->        6.9    -7.5% (band 4.2%)
    tpch__lineitem_l_partkey__part_p_partkey__filtered__T96__tiera    2,857.6 ->    2,650.4    -7.3% (band 3.0%)
    job__movie_companies_movie_id__complete_cast_movie_id__T96__tiera       29.3 ->       27.2    -7.3% (band 3.0%)
    job__person_info_info_type_id__info_type_id__T96__tiera       19.4 ->       18.3    -5.9% (band 3.0%)
    tpcds__inventory_inv_date_sk__date_dim_d_date_sk__T16__tiera      198.7 ->      188.2    -5.3% (band 4.7%)
    tpcds__web_returns_wr_refunded_cdemo_sk__customer_demographics_cd_demo_sk__T16__tiera       30.9 ->       29.5    -4.5% (band 3.0%)
    job__cast_info_movie_id__movie_companies_movie_id__T16__tiera      489.1 ->      467.4    -4.5% (band 3.0%)
    tpcds__web_returns_wr_returning_cdemo_sk__customer_demographics_cd_demo_sk__T16__tiera       30.7 ->       29.3    -4.4% (band 3.0%)
    job__movie_info_movie_id__complete_cast_movie_id__T96__tiera      176.9 ->      169.1    -4.4% (band 3.0%)
    job__cast_info_person_id__aka_name_person_id__T16__tiera      256.3 ->      247.9    -3.3% (band 3.0%)

projection_cost: verdicts 368   win=43 tie=127 loss=198   no-verdict=8
  aggregate 2,284,639.8 ms -> 2,347,582.1 ms (+2.8%)
  median per-cell delta +4.5%
  LOSSES on projection_cost: 198
    cell                                                 A ms       B ms    delta   band         disp A->B (ms)       lookup A->B (ms)      probe tot A->B (ms)
    stackoverflow__postlinks_RelatedPostId__posts_Id__T16__tiera      525.6      829.8   +57.9%   3.0%               0.0->0.2           147.2->281.3           673.9->1,110.6
    tpcds__household_demographics_hd_income_band_sk__income_band_ib_income_band_sk__T96__tiera        0.1        0.1   +56.0%  19.2%               0.0->0.0               0.1->0.1                 0.2->0.2
    tpcds__customer_address_ca_state__store_s_state__filtered__T16__tiera        6.7        9.9   +48.2%   5.8%               0.0->0.0               0.9->1.2                7.6->11.2
    tpcds__customer_address_ca_state__store_s_state__T16__tiera       12.3       17.0   +37.4%   8.8%               0.0->0.0               1.0->1.5               13.4->18.4
    job__movie_companies_movie_id__title_id__filtered__T96__tiera       28.8       39.5   +37.3%   6.9%               0.0->0.2             41.4->53.6               70.0->92.9
    tpcds__web_sales_ws_bill_customer_sk__customer_c_customer_sk__T16__tiera    1,605.7    2,192.7   +36.6%   3.0%               0.0->1.2           273.6->215.6         1,879.3->2,409.5
    tpcds__catalog_sales_cs_ship_customer_sk__customer_c_customer_sk__T16__tiera    3,246.1    4,395.9   +35.4%   3.0%               0.0->2.4           559.3->432.8         3,806.1->4,835.7
    tpcds__store_returns_sr_cdemo_sk__customer_demographics_cd_demo_sk__T16__tiera      579.8      783.6   +35.2%   3.0%               0.0->0.5           130.4->117.6             710.0->903.5
    tpcds__store_sales_ss_customer_sk__customer_c_customer_sk__T16__tiera    6,277.4    8,441.9   +34.5%   3.0%               0.0->4.9         1,087.2->857.2         7,366.3->9,306.8
    tpcds__catalog_sales_cs_bill_customer_sk__customer_c_customer_sk__T16__tiera    3,223.1    4,326.9   +34.2%   3.0%               0.0->2.3           555.7->430.2         3,778.8->4,756.8
    tpcds__store_sales_ss_cdemo_sk__customer_demographics_cd_demo_sk__T16__tiera    5,606.7    7,525.8   +34.2%   3.0%               0.0->4.7       1,313.1->1,114.6         6,921.3->8,648.0
    stackoverflow__comments_UserId__users_Id__T16__tiera    6,523.8    8,732.0   +33.8%   3.0%               0.0->2.7       1,403.9->1,007.6         7,927.7->9,722.5
    tpcds__catalog_sales_cs_bill_cdemo_sk__customer_demographics_cd_demo_sk__T16__tiera    2,937.4    3,923.3   +33.6%   3.0%               0.0->2.5           679.7->565.4         3,615.8->4,493.9
    tpcds__web_returns_wr_refunded_cdemo_sk__customer_demographics_cd_demo_sk__T16__tiera      149.1      198.6   +33.2%   3.0%               0.0->0.1             30.9->29.3             180.0->227.8
    tpcds__web_returns_wr_returning_cdemo_sk__customer_demographics_cd_demo_sk__T16__tiera      149.2      198.6   +33.2%   3.0%               0.0->0.2             30.7->29.2             179.9->227.6
    stackoverflow__posts_OwnerUserId__users_Id__T16__tiera    5,352.8    7,050.0   +31.7%   3.0%               0.0->2.4         1,093.7->793.1         6,442.8->7,858.8
    tpch__lineitem_l_suppkey__supplier_s_suppkey__T16__tiera   16,413.5   21,569.0   +31.4%   3.0%              0.0->11.6       2,749.7->2,109.9       19,162.6->23,708.5
    tpcds__web_returns_wr_item_sk__item_i_item_sk__T16__tiera       42.3       55.5   +31.2%   6.0%               0.0->0.1             20.3->21.4               62.6->77.0
    job__complete_cast_subject_id__comp_cast_type_id__T16__tiera        1.8        2.4   +31.0%  11.5%               0.0->0.0               0.8->1.2                 2.7->3.6
    tpch__partsupp_ps_suppkey__supplier_s_suppkey__T16__tiera      744.4      971.3   +30.5%   3.0%               0.0->1.2           312.8->267.5         1,057.0->1,234.8
    tpch__lineitem_l_partkey__part_p_partkey__T16__tiera   36,154.1   47,077.1   +30.2%   3.0%              0.0->12.7       5,309.5->3,261.1       41,478.6->50,347.4
    tpcds__customer_address_ca_state__store_s_state__filtered__T96__tiera        8.4       10.9   +29.1%   8.1%               0.0->0.0               1.2->1.3                9.6->12.2
    tpcds__catalog_returns_cr_item_sk__item_i_item_sk__T16__tiera       84.5      108.1   +28.0%   5.4%               0.0->0.2             39.1->41.3             123.6->149.6
    job__cast_info_movie_id__title_id__T16__tiera     2,677.7    3,422.5   +27.8%   3.0%               0.0->2.1           484.8->439.8         3,160.9->3,865.0
    job__movie_companies_movie_id__title_id__T16__tiera       55.1       70.3   +27.5%   4.6%               0.0->0.2             32.3->29.3               87.1->99.7
    tpch__orders_o_custkey__customer_c_custkey__T16__tiera    4,353.1    5,539.9   +27.3%   3.0%               0.0->3.4         1,277.7->813.5         5,631.1->6,355.5
    tpch__orders_o_custkey__customer_c_custkey__left__T16__tiera    4,517.7    5,726.6   +26.8%   3.0%               0.0->3.5         1,317.8->843.3         5,838.0->6,572.6
    tpcds__customer_c_current_cdemo_sk__customer_demographics_cd_demo_sk__T16__tiera       35.8       45.1   +25.9%   3.0%               0.0->0.1               6.9->7.4               42.8->52.3
    job__name_id__person_info_person_id__T16__tiera      249.7      313.3   +25.5%   3.0%               0.0->0.5             61.6->89.3             311.7->402.5
    job__movie_companies_movie_id__movie_info_idx_movie_id__T16__tiera      103.3      128.6   +24.5%   3.0%               0.0->0.2             37.3->31.3             140.1->160.2
    job__person_info_person_id__aka_name_person_id__T16__tiera       97.3      121.1   +24.5%   3.0%               0.0->0.7             34.4->27.2             131.8->149.1
    job__cast_info_movie_id__title_id__filtered__T16__tiera      791.9      980.1   +23.8%   3.0%               0.0->1.8           479.1->404.0         1,271.5->1,387.1
    tpcds__customer_c_current_addr_sk__customer_address_ca_address_sk__T16__tiera       26.1       32.3   +23.6%   3.0%               0.0->0.1               7.8->5.2               34.1->37.7
    job__movie_info_movie_id__movie_keyword_movie_id__T16__tiera    1,278.3    1,574.0   +23.1%   3.0%               0.0->2.1           247.3->188.9         1,526.4->1,764.9
    tpch__orders_o_custkey__customer_c_custkey__filtered__T16__tiera      941.9    1,151.9   +22.3%   3.0%               0.0->3.0           854.1->724.6         1,797.2->1,876.6
    tpcds__customer_c_first_shipto_date_sk__date_dim_d_date_sk__T16__tiera        8.9       10.8   +22.1%   8.6%               0.0->0.1               5.7->5.2               14.4->15.5
    tpcds__store_sales_ss_item_sk__store_returns_sr_item_sk__composite__T96__tiera      201.4      245.8   +22.1%   3.0%               0.0->3.4       4,191.7->3,710.2         4,391.9->3,959.8
    tpcds__web_returns_wr_refunded_addr_sk__customer_address_ca_address_sk__T16__tiera      118.0      144.1   +22.1%   3.0%               0.0->0.2             35.7->22.9             153.9->166.9
    tpcds__catalog_sales_cs_ship_addr_sk__customer_address_ca_address_sk__T16__tiera    2,218.0    2,704.0   +21.9%   3.0%               0.0->2.5           682.8->448.1         2,902.3->3,152.7
    tpcds__catalog_returns_cr_returning_addr_sk__customer_address_ca_address_sk__T16__tiera      234.4      285.2   +21.7%   3.0%               0.0->0.3             71.7->46.0             306.2->331.4
    tpcds__catalog_sales_cs_item_sk__catalog_returns_cr_item_sk__composite__T96__tiera       96.5      117.4   +21.6%   3.0%               0.0->1.7       1,981.3->1,784.3         2,078.2->1,903.5
    tpcds__web_returns_wr_returning_addr_sk__customer_address_ca_address_sk__T16__tiera      117.1      142.3   +21.5%   3.0%               0.0->0.2             35.4->22.8             152.4->165.2
    job__movie_keyword_movie_id__title_id__T16__tiera       82.2       99.7   +21.3%   4.2%               0.0->0.1             37.9->42.5             120.4->141.4
    tpcds__web_sales_ws_sold_time_sk__time_dim_t_time_sk__T16__tiera      333.1      403.8   +21.2%   3.0%               0.0->1.1           392.7->294.6             725.6->699.2
    tpcds__web_sales_ws_bill_addr_sk__customer_address_ca_address_sk__T16__tiera    1,120.0    1,356.2   +21.1%   3.0%               0.0->1.2           341.6->222.0         1,462.7->1,582.4
    job__cast_info_movie_id__movie_companies_movie_id__T16__tiera    6,992.4    8,464.0   +21.0%   3.0%               0.0->2.4           489.1->465.0         7,480.8->8,934.5
    tpcds__store_sales_ss_addr_sk__customer_address_ca_address_sk__T16__tiera    4,330.8    5,209.3   +20.3%   3.0%               0.0->4.6         1,344.0->901.5         5,675.2->6,113.0
