probe_ab_report: 1 file(s), 8112 timed-run rows, arms present [('baseline', None), ('candidate', None)]
arm A = 'baseline'   arm B = 'candidate'   metrics = ['probe_cost', 'projection_cost']

=== Unit 3 jbmt real tier a: per-metric verdicts (band = max(3%, per-arm relative spread), evaluated per metric) ===

probe_cost: verdicts 368   win=161 tie=51 loss=156   no-verdict=8
  aggregate 230,541.8 ms -> 210,259.1 ms (-8.8%)
  median per-cell delta +0.4%
  LOSSES on probe_cost: 156
    cell                                                 A ms       B ms    delta   band         disp A->B (ms)       lookup A->B (ms)      probe tot A->B (ms)
    job__title_id__movie_link_movie_id__T16__tiera       10.7       13.7   +27.4%   3.0%               0.0->0.1             10.7->13.6               24.1->27.3
    job__movie_companies_movie_id__movie_link_movie_id__T96__tiera       12.8       16.2   +26.5%   3.0%               0.0->0.2             12.8->16.0               28.8->31.6
    job__title_id__movie_link_movie_id__T96__tiera       12.3       15.5   +26.2%   3.0%               0.0->0.2             12.3->15.3               26.8->29.7
    job__movie_info_idx_movie_id__movie_link_linked_movie_id__T16__tiera        7.6        9.6   +25.9%   3.1%               0.0->0.1               7.6->9.5               19.2->21.6
    tpcds__customer_c_first_shipto_date_sk__date_dim_d_date_sk__filtered__T16__tiera        2.4        3.0   +25.5%   3.0%               0.0->0.0               2.4->2.9                 3.9->4.8
    job__movie_info_idx_movie_id__movie_link_movie_id__T96__tiera        6.6        8.3   +25.1%   3.2%               0.0->0.1               6.6->8.2               14.8->16.1
    job__cast_info_person_id__person_info_person_id__T96__tiera      782.9      971.7   +24.1%   3.0%               0.3->3.9           782.6->967.7       21,946.1->21,839.7
    tpcds__customer_address_ca_county__store_s_county__T16__tiera        1.3        1.6   +23.6%   5.9%               0.0->0.0               1.3->1.6                 3.7->4.2
    tpcds__customer_c_first_sales_date_sk__date_dim_d_date_sk__filtered__T16__tiera        2.4        3.0   +23.4%   3.0%               0.0->0.0               2.4->2.9                 4.0->4.8
    tpcds__store_sales_ss_item_sk__item_i_item_sk__filtered__T16__tiera      243.0      299.2   +23.1%   3.0%               0.0->3.0           243.0->296.2             484.1->565.7
    tpcds__catalog_returns_cr_returned_date_sk__date_dim_d_date_sk__filtered__T16__tiera       18.8       23.2   +23.0%   3.0%               0.0->0.2             18.8->23.0               36.8->43.8
    tpcds__catalog_sales_cs_item_sk__item_i_item_sk__filtered__T16__tiera      126.1      154.8   +22.8%   3.0%               0.0->1.5           126.1->153.3             250.5->293.6
    tpcds__inventory_inv_date_sk__date_dim_d_date_sk__filtered__T96__tiera       96.4      118.3   +22.7%   3.1%               0.0->1.3            96.4->117.1             204.8->224.1
    tpcds__catalog_sales_cs_ship_date_sk__date_dim_d_date_sk__filtered__T16__tiera      171.1      208.3   +21.8%   3.0%               0.0->1.7           171.1->206.6             336.5->377.8
    tpcds__store_returns_sr_returned_date_sk__date_dim_d_date_sk__filtered__T16__tiera       52.9       64.3   +21.6%   3.0%               0.0->0.4             52.9->63.9              92.6->107.5
    job__movie_keyword_movie_id__aka_title_movie_id__T96__tiera       34.7       42.1   +21.3%   3.0%               0.0->0.3             34.7->41.9             209.0->221.5
    tpcds__web_sales_ws_item_sk__item_i_item_sk__filtered__T16__tiera       66.5       80.6   +21.0%   3.0%               0.0->0.8             66.5->79.7             130.3->151.0
    job__movie_info_idx_movie_id__movie_link_linked_movie_id__T96__tiera        8.4       10.1   +21.0%   3.9%               0.0->0.1              8.4->10.0               20.8->22.5
    job__movie_keyword_movie_id__movie_link_movie_id__T96__tiera       17.4       21.0   +20.8%   6.9%               0.0->0.2             17.4->20.7               33.8->35.8
    job__movie_companies_movie_id__movie_link_linked_movie_id__T16__tiera       19.1       23.0   +20.8%   3.0%               0.0->0.1             19.1->22.9               48.1->52.9
    tpcds__catalog_sales_cs_sold_date_sk__date_dim_d_date_sk__filtered__T96__tiera      168.7      203.7   +20.7%   4.1%               0.1->2.7           168.6->201.0             422.6->456.6
    job__movie_companies_company_type_id__company_type_id__filtered__T96__tiera        9.9       11.9   +20.6%   4.9%               0.0->0.2              9.9->11.7               29.3->30.9
    tpcds__web_sales_ws_ship_date_sk__date_dim_d_date_sk__filtered__T16__tiera      127.4      152.9   +20.0%   3.0%               0.0->0.9           127.4->151.8             221.9->249.4
    tpcds__web_returns_wr_returned_date_sk__date_dim_d_date_sk__filtered__T16__tiera       13.1       15.7   +20.0%   3.0%               0.0->0.1             13.1->15.6               22.3->25.5
    job__movie_keyword_movie_id__complete_cast_movie_id__T16__tiera       24.5       29.4   +19.8%   3.3%               0.0->0.1             24.5->29.3               68.2->75.9
    coffeeshop__fact_sales_product_name__dim_products_name__T16__tiera    8,668.9   10,361.6   +19.5%   3.0%              0.4->74.8      8,668.5->10,285.2       37,126.8->38,797.2
    tpcds__web_sales_ws_sold_date_sk__date_dim_d_date_sk__filtered__T16__tiera      130.1      154.9   +19.1%   3.0%               0.0->0.9           130.1->153.9             225.9->252.7
    job__movie_keyword_movie_id__complete_cast_movie_id__T96__tiera       30.3       35.9   +18.8%   5.1%               0.0->0.2             30.2->35.7               81.1->88.7
    tpcds__store_returns_sr_item_sk__item_i_item_sk__filtered__T16__tiera       29.4       34.9   +18.7%   3.0%               0.0->0.3             29.4->34.6               56.0->64.8
    tpcds__catalog_sales_cs_ship_date_sk__date_dim_d_date_sk__filtered__T96__tiera      196.9      233.4   +18.6%   3.0%               0.0->2.2           196.8->231.2             443.6->477.6
    tpcds__store_sales_ss_sold_date_sk__date_dim_d_date_sk__filtered__T16__tiera      532.0      630.3   +18.5%   3.0%               0.0->3.5           532.0->626.9             889.7->997.5
    job__cast_info_movie_id__movie_link_linked_movie_id__T16__tiera      305.6      361.5   +18.3%   3.0%               0.0->1.7           305.6->359.7             673.1->732.0
    tpcds__web_returns_wr_returned_date_sk__date_dim_d_date_sk__filtered__T96__tiera       14.0       16.6   +18.0%   3.0%               0.0->0.1             14.0->16.4               25.2->27.2
    job__title_id__movie_link_linked_movie_id__T16__tiera       19.2       22.7   +17.8%   3.0%               0.0->0.1             19.2->22.5               40.5->44.2
    job__movie_keyword_movie_id__movie_info_idx_movie_id__T96__tiera       44.4       52.3   +17.8%   7.0%               0.0->0.3             44.4->52.1             285.1->297.4
    job__complete_cast_movie_id__movie_link_movie_id__T16__tiera        0.7        0.9   +17.5%   5.5%               0.0->0.0               0.7->0.9                 1.5->1.6
    job__movie_keyword_movie_id__movie_companies_movie_id__T16__tiera       41.2       48.4   +17.4%   5.0%               0.0->0.2             41.2->48.2             657.0->736.9
    tpcds__catalog_sales_cs_item_sk__store_returns_sr_item_sk__T16__tiera      369.5      433.9   +17.4%   3.0%               0.0->4.3           369.5->429.5       85,886.1->86,237.5
    tpcds__store_sales_ss_store_sk__store_s_store_sk__T96__tiera      638.4      748.9   +17.3%   3.0%               0.4->6.1           637.9->742.7         3,415.5->3,330.7
    tpcds__web_sales_ws_ship_date_sk__date_dim_d_date_sk__filtered__T96__tiera      140.9      165.1   +17.1%   3.0%               0.0->1.0           140.9->164.0             298.1->316.9
    tpcds__catalog_returns_cr_item_sk__item_i_item_sk__filtered__T16__tiera       15.8       18.5   +16.9%   3.0%               0.0->0.2             15.8->18.3               29.6->34.2
    job__cast_info_movie_id__movie_info_movie_id__T96__tiera    1,540.9    1,798.2   +16.7%   5.7%               0.1->4.7       1,540.8->1,793.5       89,959.4->92,941.0
    tpcds__customer_address_ca_state__store_s_state__filtered__T96__tiera        1.2        1.4   +16.7%  12.4%               0.0->0.0               1.2->1.3                9.6->12.2
    job__title_id__movie_link_linked_movie_id__T96__tiera       20.5       23.8   +16.2%   3.0%               0.0->0.2             20.5->23.6               42.5->45.7
    tpcds__web_sales_ws_sold_date_sk__date_dim_d_date_sk__filtered__T96__tiera      144.6      167.5   +15.9%   3.3%               0.1->1.3           144.5->166.2             311.4->329.4
    tpcds__web_returns_wr_item_sk__item_i_item_sk__filtered__T16__tiera        8.0        9.2   +15.8%   3.0%               0.0->0.1               8.0->9.2               14.5->16.7
    job__movie_keyword_movie_id__title_id__filtered__T16__tiera       25.3       29.3   +15.8%   3.0%               0.0->0.1             25.3->29.2               50.2->57.5
    job__cast_info_movie_id__movie_link_linked_movie_id__T96__tiera      343.8      396.9   +15.4%   3.0%               0.1->2.1           343.8->394.8             866.8->904.8
    tpcds__store_returns_sr_returned_date_sk__date_dim_d_date_sk__filtered__T96__tiera       56.8       65.5   +15.4%   3.0%               0.0->0.4             56.8->65.1             117.7->124.8
    tpcds__web_returns_wr_refunded_cdemo_sk__customer_demographics_cd_demo_sk__T96__tiera       60.4       69.7   +15.4%   4.6%               0.0->0.2             60.4->69.4             285.6->312.4
    tpcds__store_sales_ss_sold_date_sk__date_dim_d_date_sk__filtered__T96__tiera      583.7      672.8   +15.3%   3.0%               0.2->5.5           583.5->667.2         1,251.0->1,317.4
    job__movie_companies_movie_id__movie_link_linked_movie_id__T96__tiera       20.8       23.9   +15.3%   3.0%               0.0->0.2             20.8->23.7               51.3->55.0
    tpcds__catalog_returns_cr_returned_date_sk__date_dim_d_date_sk__filtered__T96__tiera       20.2       23.2   +14.6%   3.0%               0.0->0.3             20.2->23.0               44.4->46.6
    coffeeshop__fact_sales_product_id__dim_products_product_id__T96__tiera    8,216.6    9,370.5   +14.0%   3.0%             11.2->96.8       8,201.0->9,270.8       55,516.3->56,422.5
    job__movie_info_idx_movie_id__complete_cast_movie_id__T16__tiera       10.5       11.9   +13.1%   3.1%               0.0->0.1             10.5->11.8               27.2->30.5
    tpcds__catalog_sales_cs_item_sk__item_i_item_sk__filtered__T96__tiera      161.0      182.1   +13.1%   3.0%               0.1->2.5           161.0->179.7             391.3->399.9
    job__movie_keyword_movie_id__title_id__T16__tiera       37.9       42.7   +12.5%   7.5%               0.0->0.1             37.9->42.5             120.4->141.4
    tpcds__web_returns_wr_returning_cdemo_sk__customer_demographics_cd_demo_sk__T96__tiera       60.6       68.1   +12.2%   4.4%               0.0->0.2             60.6->67.8             279.2->314.3
    tpcds__store_sales_ss_item_sk__item_i_item_sk__filtered__T96__tiera      313.4      351.3   +12.1%   3.0%               0.2->4.9           313.1->346.3             770.2->781.3
    job__movie_companies_company_id__company_name_id__filtered__T16__tiera       24.6       27.5   +12.0%   3.0%               0.0->0.1             24.6->27.4               32.8->36.9
    tpcds__inventory_inv_item_sk__item_i_item_sk__filtered__T16__tiera      188.3      210.7   +11.9%   3.0%               0.0->1.1           188.3->209.6             296.7->335.3
    tpch__supplier_s_nationkey__nation_n_nationkey__T96__tiera        2.5        2.8   +11.5%   4.4%               0.0->0.1               2.5->2.7                 7.8->8.2
    job__movie_companies_company_id__company_name_id__filtered__T96__tiera       26.4       29.4   +11.5%   3.0%               0.0->0.2             26.4->29.2               36.6->40.3
    tpcds__customer_c_first_sales_date_sk__date_dim_d_date_sk__filtered__T96__tiera        3.9        4.3   +11.4%   3.4%               0.0->0.1               3.9->4.2                 7.0->7.3
    tpcds__customer_c_first_shipto_date_sk__date_dim_d_date_sk__filtered__T96__tiera        3.9        4.3   +11.1%   4.4%               0.0->0.1               3.8->4.1                 7.0->7.4
    tpcds__web_sales_ws_web_page_sk__web_page_wp_web_page_sk__T16__tiera      130.5      144.8   +11.0%   3.0%               0.0->1.0           130.5->143.7             355.7->384.7
    tpcds__store_returns_sr_item_sk__item_i_item_sk__filtered__T96__tiera       32.8       36.3   +10.7%   3.0%               0.0->0.4             32.7->35.9               72.8->76.2
    job__movie_companies_company_type_id__company_type_id__T16__tiera       13.2       14.6   +10.5%   3.0%               0.0->0.1             13.2->14.4               43.5->46.1
    tpcds__catalog_returns_cr_item_sk__item_i_item_sk__filtered__T96__tiera       17.2       18.9   +10.2%   3.0%               0.0->0.2             17.2->18.7               34.9->37.3
    tpcds__web_sales_ws_promo_sk__promotion_p_promo_sk__T16__tiera      128.6      141.5   +10.0%   3.0%               0.0->1.0           128.6->140.6             590.4->620.3
    tpcds__store_returns_sr_store_sk__store_s_store_sk__T96__tiera       68.0       74.7    +9.9%   5.2%               0.0->0.6             68.0->74.2             343.4->342.2
    tpcds__web_sales_ws_item_sk__item_i_item_sk__filtered__T96__tiera       85.8       94.2    +9.9%   5.9%               0.1->1.2             85.7->93.0             199.5->204.2
    job__cast_info_person_id__name_id__T96__tiera       555.1      609.6    +9.8%   3.0%               0.1->2.3           555.1->607.3         2,128.0->2,328.3
    tpcds__customer_c_current_cdemo_sk__customer_demographics_cd_demo_sk__T16__tiera        6.9        7.5    +9.4%   7.8%               0.0->0.1               6.9->7.4               42.8->52.3
    tpcds__inventory_inv_item_sk__item_i_item_sk__filtered__T96__tiera      220.9      240.9    +9.1%   3.0%               0.1->1.7           220.9->239.1             444.0->462.5
    tpcds__catalog_sales_cs_promo_sk__promotion_p_promo_sk__T16__tiera      259.8      282.4    +8.7%   3.0%               0.0->1.9           259.8->280.6         1,189.4->1,232.1
    tpcds__web_returns_wr_item_sk__item_i_item_sk__filtered__T96__tiera        9.4       10.2    +8.7%   3.0%               0.0->0.1              9.4->10.1               17.6->18.8
    tpcds__customer_c_current_hdemo_sk__household_demographics_hd_demo_sk__T16__tiera        6.9        7.5    +8.4%   3.0%               0.0->0.1               6.9->7.4               16.9->18.1
    tpcds__store_sales_ss_item_sk__item_i_item_sk__T96__tiera      805.3      868.9    +7.9%   3.0%               0.3->6.1           805.0->862.6         4,159.6->4,003.8
    tpcds__catalog_sales_cs_bill_hdemo_sk__household_demographics_hd_demo_sk__T16__tiera      603.5      649.3    +7.6%   3.0%               0.0->2.2           603.5->647.0         1,398.1->1,482.4
    tpcds__store_sales_ss_promo_sk__promotion_p_promo_sk__T16__tiera      536.8      576.9    +7.5%   3.0%               0.0->3.9           536.8->572.9         2,303.5->2,402.0
    tpch__partsupp_ps_partkey__part_p_partkey__filtered__T16__tiera      169.5      181.8    +7.2%   3.0%               0.0->1.0           169.5->180.8             189.0->203.9
    job__movie_companies_company_type_id__company_type_id__T96__tiera       15.8       16.9    +7.2%   3.0%               0.0->0.3             15.8->16.7               53.6->52.9
    tpcds__catalog_sales_cs_item_sk__item_i_item_sk__T96__tiera      405.8      434.2    +7.0%   3.0%               0.2->3.0           405.5->431.2         2,079.0->2,008.9
    tpcds__web_sales_ws_item_sk__item_i_item_sk__T96__tiera      208.9      223.1    +6.8%   5.5%               0.1->1.6           208.8->221.6         1,035.1->1,012.7
    tpcds__web_returns_wr_web_page_sk__web_page_wp_web_page_sk__T16__tiera       13.8       14.7    +6.7%   3.0%               0.0->0.1             13.8->14.6               35.3->37.0
    tpcds__web_sales_ws_ship_hdemo_sk__household_demographics_hd_demo_sk__T16__tiera      302.3      322.3    +6.6%   3.0%               0.0->1.1           302.3->321.2             697.8->742.9
    job__movie_info_idx_movie_id__complete_cast_movie_id__T96__tiera       11.4       12.1    +6.4%   3.7%               0.0->0.1             11.4->12.1               30.1->30.8
    tpcds__catalog_returns_cr_item_sk__item_i_item_sk__T16__tiera       39.1       41.6    +6.4%   4.1%               0.0->0.2             39.1->41.3             123.6->149.6
    tpcds__store_sales_ss_hdemo_sk__household_demographics_hd_demo_sk__T16__tiera    1,209.1    1,285.7    +6.3%   3.0%               0.0->4.5       1,209.0->1,281.4         2,741.9->2,901.0
    tpcds__customer_c_current_hdemo_sk__household_demographics_hd_demo_sk__T96__tiera        7.3        7.8    +6.3%   3.0%               0.0->0.1               7.3->7.7               17.9->18.9
    job__title_kind_id__kind_type_id__T96__tiera         14.9       15.8    +6.2%   3.0%               0.0->0.2             14.9->15.6               46.9->47.5
