unit	probe_cost_verdict	probe_cost_median_a_us	probe_cost_median_b_us	probe_cost_delta_us	probe_cost_delta_pct	probe_cost_band_pct	probe_cost_reason	projection_cost_verdict	projection_cost_median_a_us	projection_cost_median_b_us	projection_cost_delta_us	projection_cost_delta_pct	projection_cost_band_pct	projection_cost_reason	dispatch_a_us	dispatch_b_us	lookup_a_us	lookup_b_us	probe_total_a_us	probe_total_b_us	wall_a_us	wall_b_us
tpcds__web_sales_ws_sold_date_sk__date_dim_d_date_sk__filtered__T16__tierb	LOSS	259899	307140	47241	18.177	3.000		TIE	190487	193388	2901	1.523	3.000		17	1739	259887	305489	450509	500478	86000	96000
tpcds__web_sales_ws_sold_date_sk__date_dim_d_date_sk__filtered__T96__tierb	LOSS	285731	331921	46190	16.166	3.000		WIN	351337	337401	-13936	-3.967	3.000		139	2736	285597	329179	636063	669955	41000	42000
tpcds__web_sales_ws_sold_time_sk__time_dim_t_time_sk__T16__tierb	WIN	784962	591700	-193262	-24.621	3.000		LOSS	664433	784587	120154	18.084	3.000		0	2132	784962	589485	1448735	1378249	170000	173000
tpcds__web_sales_ws_sold_time_sk__time_dim_t_time_sk__T96__tierb	WIN	896785	663771	-233014	-25.983	3.000		LOSS	860686	970124	109438	12.715	3.000		12	2616	896775	661168	1765975	1638018	58000	58000
tpcds__web_sales_ws_warehouse_sk__warehouse_w_warehouse_sk__T16__tierb	LOSS	254554	263602	9048	3.554	3.000		TIE	1016655	1036841	20186	1.986	3.000		4	2260	254543	261299	1271346	1300179	178000	188000
tpcds__web_sales_ws_warehouse_sk__warehouse_w_warehouse_sk__T96__tierb	LOSS	309073	320337	11264	3.644	3.000		TIE	1449123	1441882	-7241	-0.500	3.000		231	3170	308833	317167	1758752	1761591	60000	60000
tpcds__web_sales_ws_web_page_sk__web_page_wp_web_page_sk__T16__tierb	LOSS	276927	298271	21344	7.707	3.000		LOSS	450481	467009	16528	3.669	3.000		4	1866	276910	296405	727129	764838	120000	129000
tpcds__web_sales_ws_web_page_sk__web_page_wp_web_page_sk__T96__tierb	TIE	352244	356852	4608	1.308	3.000		TIE	758707	747671	-11036	-1.455	3.000		361	2967	351883	353931	1108339	1105191	48000	50000
tpcds__web_sales_ws_web_site_sk__web_site_web_site_sk__T16__tierb	LOSS	253907	262943	9036	3.559	3.000		LOSS	1165221	1295626	130405	11.191	3.000		3	2364	253907	260679	1419446	1558530	190000	207000
tpcds__web_sales_ws_web_site_sk__web_site_web_site_sk__T96__tierb	TIE	329426	336487	7061	2.143	3.000		WIN	2346024	2248967	-97057	-4.137	3.000		314	3307	329087	333160	2675450	2584861	73000	73000
tpch__customer_c_nationkey__nation_n_nationkey__T16__tierb	TIE	86286	88165	1879	2.178	3.000		TIE	176974	180130	3156	1.783	3.000		2	888	86283	87316	263350	269020	59000	65000
tpch__customer_c_nationkey__nation_n_nationkey__T96__tierb	LOSS	91377	97145	5768	6.312	3.000		WIN	250068	216959	-33109	-13.240	3.410		105	1051	91299	95999	341049	313689	31000	32000
