unit	probe_cost_verdict	probe_cost_median_a_us	probe_cost_median_b_us	probe_cost_delta_us	probe_cost_delta_pct	probe_cost_band_pct	probe_cost_reason	projection_cost_verdict	projection_cost_median_a_us	projection_cost_median_b_us	projection_cost_delta_us	projection_cost_delta_pct	projection_cost_band_pct	projection_cost_reason	dispatch_a_us	dispatch_b_us	lookup_a_us	lookup_b_us	probe_total_a_us	probe_total_b_us	wall_a_us	wall_b_us
tpch__orders_o_custkey__customer_c_custkey__filtered__T16__tiera	WIN	854139	727524	-126615	-14.824	3.000		LOSS	941866	1151941	210075	22.304	3.000		14	2963	854114	724602	1797179	1876635	197000	216000
tpch__orders_o_custkey__customer_c_custkey__filtered__T96__tiera	WIN	1360971	1194924	-166047	-12.201	3.000		LOSS	1510575	1663243	152668	10.107	3.000		364	4216	1360581	1190536	2869341	2870743	89000	88000
tpch__orders_o_custkey__customer_c_custkey__left__T16__tiera	WIN	1317856	846865	-470991	-35.739	3.000		LOSS	4517687	5726647	1208960	26.761	3.000		18	3480	1317844	843326	5838000	6572576	635000	723000
tpch__orders_o_custkey__customer_c_custkey__left__T96__tiera	WIN	2326974	1679077	-647897	-27.843	3.000		LOSS	7474140	8069558	595418	7.966	3.000		361	4597	2326594	1674359	9775630	9784846	222000	216000
tpch__orders_o_custkey__customer_c_custkey__left_anti__T16__tiera	TIE	773036	784656	11620	1.503	3.000		WIN	19974	18456	-1518	-7.600	3.000		14	2610	773036	781947	793010	802940	104000	122000
tpch__orders_o_custkey__customer_c_custkey__left_anti__T96__tiera	TIE	1398772	1405100	6328	0.452	3.000		WIN	32507	25491	-7016	-21.583	3.332		220	3861	1398569	1401239	1431467	1430538	59000	62000
tpch__partsupp_ps_partkey__part_p_partkey__T16__tiera	WIN	497462	323167	-174295	-35.037	4.356		LOSS	597452	639085	41633	6.968	3.000		0	1283	497462	321881	1093136	958558	172000	230000
tpch__partsupp_ps_partkey__part_p_partkey__T96__tiera	TIE	1012204	968182	-44022	-4.349	5.325		LOSS	842833	958563	115730	13.731	3.000		2	1450	1012204	966724	1857180	1953384	146000	124000
tpch__partsupp_ps_partkey__part_p_partkey__filtered__T16__tiera	LOSS	169547	181781	12234	7.216	3.000		LOSS	19484	22073	2589	13.288	3.000		0	1030	169529	180807	189031	203929	60000	70000
tpch__partsupp_ps_partkey__part_p_partkey__filtered__T96__tiera	TIE	190165	213896	23731	12.479	12.356		LOSS	30984	33075	2091	6.749	4.147		0	1135	190165	212758	220904	246920	54000	50000
tpch__partsupp_ps_suppkey__supplier_s_suppkey__T16__tiera	WIN	312830	268765	-44065	-14.086	5.292		LOSS	744423	971340	226917	30.482	3.000		0	1247	312830	267526	1057032	1234816	148000	174000
tpch__partsupp_ps_suppkey__supplier_s_suppkey__T96__tiera	WIN	643993	453430	-190563	-29.591	3.000		LOSS	1311714	1453428	141714	10.804	3.000		2	1653	643989	451776	1963543	1912896	65000	65000
tpch__supplier_s_nationkey__nation_n_nationkey__T16__tiera	TIE	2636	2726	90	3.414	3.501		LOSS	4905	5202	297	6.055	3.000		0	57	2636	2668	7548	7916	9000	15000
tpch__supplier_s_nationkey__nation_n_nationkey__T96__tiera	LOSS	2500	2788	288	11.520	4.422		TIE	5185	5382	197	3.799	7.768		0	59	2500	2733	7757	8170	18000	19000
