probe_ab_report: 1 file(s), 8052 timed-run rows, arms present [('baseline', None), ('candidate', None)]
arm A = 'baseline'   arm B = 'candidate'   metrics = ['probe_cost', 'projection_cost']

=== Unit 3 jbmt real tier b: per-metric verdicts (band = max(3%, per-arm relative spread), evaluated per metric) ===

probe_cost: verdicts 365   win=164 tie=50 loss=151   no-verdict=11
  aggregate 493,179.2 ms -> 449,846.8 ms (-8.8%)
  median per-cell delta -0.4%
  LOSSES on probe_cost: 151
    cell                                                 A ms       B ms    delta   band         disp A->B (ms)       lookup A->B (ms)      probe tot A->B (ms)
    stackoverflow__comments_UserId__users_Id__T16__tierb    3,574.5 ->    2,435.0   -31.9% (band 3.0%)
    job__cast_info_movie_id__movie_keyword_movie_id__T96__tierb      913.8 ->      645.0   -29.4% (band 3.0%)
    tpch__lineitem_l_orderkey__orders_o_orderkey__left_semi__T16__tierb   11,278.7 ->    7,999.6   -29.1% (band 3.0%)
    job__movie_keyword_keyword_id__keyword_id__T16__tierb       37.7 ->       27.4   -27.2% (band 3.0%)
    stackoverflow__badges_UserId__users_Id__T16__tierb    1,483.0 ->    1,091.8   -26.4% (band 3.0%)
    tpcds__catalog_sales_cs_sold_time_sk__time_dim_t_time_sk__T96__tierb    1,799.9 ->    1,326.0   -26.3% (band 3.0%)
    job__movie_companies_company_id__company_name_id__T96__tierb       34.1 ->       25.2   -26.3% (band 3.0%)
    tpcds__web_sales_ws_sold_time_sk__time_dim_t_time_sk__T96__tierb      896.8 ->      663.8   -26.0% (band 3.0%)
    tpch__lineitem_l_suppkey__supplier_s_suppkey__T96__tierb   13,208.5 ->    9,802.0   -25.8% (band 3.0%)
    tpcds__catalog_sales_cs_sold_time_sk__time_dim_t_time_sk__T16__tierb    1,565.5 ->    1,179.8   -24.6% (band 3.0%)
    tpcds__web_sales_ws_sold_time_sk__time_dim_t_time_sk__T16__tierb      785.0 ->      591.7   -24.6% (band 3.0%)
    stackoverflow__posts_OwnerUserId__users_Id__T16__tierb    2,863.2 ->    2,158.4   -24.6% (band 3.0%)
    tpch__orders_o_custkey__customer_c_custkey__left__T16__tierb    2,902.5 ->    2,189.7   -24.6% (band 3.0%)
    tpch__lineitem_l_partkey__partsupp_ps_partkey__composite__T16__tierb   13,774.0 ->   10,399.1   -24.5% (band 3.0%)
    tpch__nation_n_regionkey__region_r_regionkey__T96__tierb        0.0 ->        0.0   -24.1% (band 6.8%)
    tpcds__catalog_sales_cs_bill_addr_sk__customer_address_ca_address_sk__T16__tierb    1,142.4 ->      867.0   -24.1% (band 3.0%)
    job__movie_info_movie_id__movie_info_idx_movie_id__T96__tierb      323.4 ->      245.4   -24.1% (band 3.0%)
    job__movie_keyword_keyword_id__keyword_id__T96__tierb       42.4 ->       32.2   -24.0% (band 6.3%)
    job__cast_info_person_role_id__char_name_id__T96__tierb      363.2 ->      276.1   -24.0% (band 3.0%)
    tpcds__web_sales_ws_ship_addr_sk__customer_address_ca_address_sk__T16__tierb      566.8 ->      432.1   -23.8% (band 3.0%)
    tpcds__catalog_sales_cs_ship_addr_sk__customer_address_ca_address_sk__T16__tierb    1,148.6 ->      875.7   -23.8% (band 3.0%)
    job__cast_info_movie_id__movie_keyword_movie_id__T16__tierb      631.1 ->      481.2   -23.7% (band 3.0%)
    tpcds__web_sales_ws_sold_date_sk__date_dim_d_date_sk__T96__tierb      626.4 ->      479.2   -23.5% (band 7.5%)
    tpcds__web_sales_ws_bill_addr_sk__customer_address_ca_address_sk__T16__tierb      566.1 ->      433.2   -23.5% (band 3.0%)
    tpcds__web_sales_ws_ship_date_sk__date_dim_d_date_sk__T96__tierb      633.7 ->      485.2   -23.4% (band 5.8%)
    job__movie_info_movie_id__movie_keyword_movie_id__T16__tierb      249.2 ->      190.8   -23.4% (band 3.0%)
    job__cast_info_movie_id__movie_info_idx_movie_id__T16__tierb      581.8 ->      446.3   -23.3% (band 3.0%)
    stackoverflow__votes_PostId__posts_Id__T16__tierb    8,182.9 ->    6,277.3   -23.3% (band 3.0%)
    tpcds__store_sales_ss_addr_sk__customer_address_ca_address_sk__T16__tierb    2,249.8 ->    1,731.1   -23.1% (band 3.0%)
    tpch__orders_o_custkey__customer_c_custkey__filtered__T16__tierb    2,618.1 ->    2,019.0   -22.9% (band 3.0%)
    tpch__lineitem_l_orderkey__orders_o_orderkey__left_semi__T96__tierb   14,116.9 ->   10,936.9   -22.5% (band 3.0%)
    tpcds__catalog_sales_cs_bill_cdemo_sk__customer_demographics_cd_demo_sk__T96__tierb    2,397.2 ->    1,859.2   -22.4% (band 3.0%)
    tpcds__store_sales_ss_cdemo_sk__customer_demographics_cd_demo_sk__T96__tierb    4,748.5 ->    3,683.1   -22.4% (band 3.0%)
    tpch__orders_o_custkey__customer_c_custkey__T16__tierb    2,699.1 ->    2,107.3   -21.9% (band 3.0%)
    job__cast_info_person_role_id__char_name_id__T16__tierb      229.1 ->      179.9   -21.5% (band 3.0%)
    job__movie_companies_company_id__company_name_id__T16__tierb       25.7 ->       20.3   -21.0% (band 4.4%)
    tpcds__customer_address_ca_zip__store_s_zip__filtered__T96__tierb       11.4 ->        9.0   -21.0% (band 3.5%)
    job__movie_info_movie_id__movie_info_idx_movie_id__T16__tierb      216.7 ->      171.3   -21.0% (band 3.0%)
    tpch__partsupp_ps_suppkey__supplier_s_suppkey__T16__tierb      781.3 ->      617.9   -20.9% (band 3.0%)
    job__person_info_person_id__aka_name_person_id__T16__tierb       34.4 ->       27.5   -20.2% (band 3.0%)
    tpcds__store_sales_ss_sold_time_sk__time_dim_t_time_sk__T96__tierb    3,326.4 ->    2,661.3   -20.0% (band 3.0%)
    job__cast_info_movie_id__title_id__T96__tierb       856.9 ->      687.0   -19.8% (band 4.1%)
    tpch__lineitem_l_partkey__partsupp_ps_partkey__composite__T96__tierb   20,190.0 ->   16,203.2   -19.7% (band 3.0%)
    tpcds__catalog_returns_cr_returning_addr_sk__customer_address_ca_address_sk__T16__tierb      119.7 ->       96.1   -19.7% (band 3.0%)
    job__cast_info_movie_id__movie_info_idx_movie_id__T96__tierb      687.9 ->      552.2   -19.7% (band 3.0%)
    tpcds__web_sales_ws_bill_customer_sk__customer_c_customer_sk__T96__tierb    1,059.9 ->      852.8   -19.5% (band 3.0%)
    tpch__orders_o_custkey__customer_c_custkey__left__T96__tierb    5,730.1 ->    4,614.4   -19.5% (band 3.0%)
    job__person_info_person_id__aka_name_person_id__T96__tierb       59.6 ->       48.0   -19.4% (band 3.0%)
    tpch__lineitem_l_partkey__part_p_partkey__filtered__T16__tierb    6,011.5 ->    4,851.3   -19.3% (band 3.0%)
    tpcds__store_returns_sr_cdemo_sk__customer_demographics_cd_demo_sk__T96__tierb      430.9 ->      348.4   -19.1% (band 3.0%)
    tpcds__catalog_sales_cs_ship_customer_sk__customer_c_customer_sk__T96__tierb    2,137.9 ->    1,732.6   -19.0% (band 3.0%)
    stackoverflow__comments_PostId__posts_Id__T16__tierb    4,260.1 ->    3,455.2   -18.9% (band 3.0%)
    tpcds__store_sales_ss_customer_sk__customer_c_customer_sk__T96__tierb    4,202.9 ->    3,423.8   -18.5% (band 3.0%)
    tpcds__catalog_sales_cs_bill_customer_sk__customer_c_customer_sk__T96__tierb    2,130.6 ->    1,741.0   -18.3% (band 3.0%)
    job__movie_info_movie_id__aka_title_movie_id__T16__tierb      196.9 ->      161.1   -18.2% (band 3.0%)
    tpcds__web_returns_wr_refunded_addr_sk__customer_address_ca_address_sk__T16__tierb       58.2 ->       47.8   -17.9% (band 3.0%)
    job__movie_info_movie_id__title_id__T16__tierb      188.7 ->      155.1   -17.8% (band 3.0%)
    tpch__lineitem_l_partkey__part_p_partkey__T96__tierb   14,878.6 ->   12,265.0   -17.6% (band 3.0%)
    job__title_id__aka_title_movie_id__T16__tierb        33.8 ->       27.9   -17.5% (band 3.0%)
    tpcds__catalog_returns_cr_returned_date_sk__date_dim_d_date_sk__T96__tierb      122.1 ->      101.3   -17.0% (band 9.0%)
    job__movie_info_movie_id__title_id__T96__tierb      383.9 ->      319.2   -16.8% (band 4.5%)
    tpcds__catalog_sales_cs_ship_date_sk__date_dim_d_date_sk__T96__tierb    1,229.6 ->    1,024.4   -16.7% (band 4.9%)
    tpcds__catalog_sales_cs_bill_cdemo_sk__customer_demographics_cd_demo_sk__T16__tierb    1,362.9 ->    1,135.5   -16.7% (band 3.0%)
    job__title_id__complete_cast_movie_id__T16__tierb       29.3 ->       24.4   -16.7% (band 3.0%)
    job__cast_info_movie_id__complete_cast_movie_id__T16__tierb      463.7 ->      387.1   -16.5% (band 3.0%)
    tpch__orders_o_custkey__customer_c_custkey__filtered__T96__tierb    4,340.2 ->    3,626.3   -16.4% (band 3.0%)
    tpcds__web_returns_wr_returning_addr_sk__customer_address_ca_address_sk__T16__tierb       58.4 ->       48.9   -16.3% (band 3.0%)
    job__movie_companies_movie_id__aka_title_movie_id__T16__tierb       33.0 ->       27.7   -16.2% (band 3.0%)
    tpcds__customer_c_first_sales_date_sk__date_dim_d_date_sk__T96__tierb       15.7 ->       13.2   -16.0% (band 9.8%)
    job__movie_info_movie_id__aka_title_movie_id__T96__tierb      247.9 ->      208.2   -16.0% (band 3.0%)
    job__cast_info_person_id__name_id__T16__tierb       300.9 ->      252.9   -16.0% (band 3.0%)
    tpcds__inventory_inv_item_sk__item_i_item_sk__T16__tierb      624.8 ->      525.3   -15.9% (band 3.0%)
    tpcds__store_sales_ss_sold_time_sk__time_dim_t_time_sk__T16__tierb    2,846.6 ->    2,395.3   -15.9% (band 3.0%)
    tpcds__store_sales_ss_cdemo_sk__customer_demographics_cd_demo_sk__T16__tierb    2,653.6 ->    2,233.8   -15.8% (band 3.0%)
    tpcds__web_sales_ws_ship_addr_sk__customer_address_ca_address_sk__T96__tierb      832.7 ->      701.1   -15.8% (band 3.0%)
    tpch__lineitem_l_orderkey__orders_o_orderkey__T96__tierb   21,372.0 ->   18,012.1   -15.7% (band 3.0%)
    job__movie_companies_movie_id__movie_info_idx_movie_id__T16__tierb       37.2 ->       31.4   -15.7% (band 3.0%)
    tpcds__catalog_sales_cs_ship_customer_sk__customer_c_customer_sk__T16__tierb    1,226.3 ->    1,037.3   -15.4% (band 3.0%)
    tpcds__catalog_sales_cs_bill_customer_sk__customer_c_customer_sk__T16__tierb    1,235.2 ->    1,046.6   -15.3% (band 3.0%)
    job__cast_info_movie_id__title_id__filtered__T96__tierb      679.1 ->      576.9   -15.1% (band 3.5%)
    job__movie_info_movie_id__movie_companies_movie_id__T16__tierb      214.8 ->      183.0   -14.8% (band 3.0%)
    tpcds__web_returns_wr_returning_addr_sk__customer_address_ca_address_sk__T96__tierb       90.8 ->       77.4   -14.8% (band 4.0%)
    tpcds__store_sales_ss_customer_sk__customer_c_customer_sk__T16__tierb    2,416.0 ->    2,059.7   -14.7% (band 3.0%)
    job__title_id__movie_info_idx_movie_id__T16__tierb       37.6 ->       32.2   -14.5% (band 3.0%)
    job__cast_info_movie_id__title_id__filtered__T16__tierb      476.1 ->      407.6   -14.4% (band 3.0%)
    stackoverflow__comments_UserId__users_Id__T96__tierb    3,769.0 ->    3,227.4   -14.4% (band 3.0%)
    tpcds__web_returns_wr_refunded_addr_sk__customer_address_ca_address_sk__T96__tierb       91.6 ->       78.6   -14.2% (band 5.3%)
    tpcds__web_sales_ws_bill_addr_sk__customer_address_ca_address_sk__T96__tierb      835.8 ->      716.9   -14.2% (band 3.0%)
    job__cast_info_movie_id__movie_info_movie_id__T16__tierb      755.6 ->      648.3   -14.2% (band 3.0%)
    job__title_id__complete_cast_movie_id__T96__tierb       31.1 ->       26.7   -14.1% (band 3.0%)
    job__movie_companies_movie_id__movie_info_idx_movie_id__T96__tierb       47.6 ->       40.9   -14.1% (band 3.0%)
    tpcds__store_sales_ss_customer_sk__customer_c_customer_sk__left_semi__T96__tierb    3,684.1 ->    3,165.5   -14.1% (band 3.0%)
    tpcds__web_sales_ws_bill_customer_sk__customer_c_customer_sk__T16__tierb      601.6 ->      517.2   -14.0% (band 3.0%)
    coffeeshop__fact_sales_location_id__dim_locations_location_id__T16__tierb   11,385.2 ->    9,801.9   -13.9% (band 3.0%)
    tpcds__web_returns_wr_returning_cdemo_sk__customer_demographics_cd_demo_sk__T16__tierb       66.3 ->       57.1   -13.9% (band 3.0%)
    tpcds__web_sales_ws_item_sk__web_returns_wr_item_sk__composite__T16__tierb      958.1 ->      826.8   -13.7% (band 3.9%)
    job__title_id__aka_title_movie_id__T96__tierb        35.7 ->       30.8   -13.7% (band 3.0%)
    tpch__orders_o_custkey__customer_c_custkey__T96__tierb    5,058.1 ->    4,372.6   -13.6% (band 3.7%)
    tpcds__catalog_returns_cr_returning_addr_sk__customer_address_ca_address_sk__T96__tierb      161.7 ->      139.9   -13.5% (band 3.0%)
    tpcds__catalog_returns_cr_returned_date_sk__date_dim_d_date_sk__T16__tierb       94.1 ->       81.5   -13.4% (band 6.3%)
    job__name_id__aka_name_person_id__T96__tierb         87.5 ->       75.8   -13.4% (band 3.3%)
    job__cast_info_movie_id__complete_cast_movie_id__T96__tierb      511.3 ->      443.0   -13.4% (band 3.0%)
    tpch__lineitem_l_partkey__part_p_partkey__T16__tierb   11,479.1 ->    9,959.0   -13.2% (band 3.0%)
    tpcds__store_returns_sr_cdemo_sk__customer_demographics_cd_demo_sk__T16__tierb      266.8 ->      231.9   -13.1% (band 3.0%)
    tpcds__store_sales_ss_store_sk__store_s_store_sk__T16__tierb    1,073.8 ->      939.1   -12.5% (band 3.0%)
    stackoverflow__posts_OwnerUserId__users_Id__T96__tierb    3,362.6 ->    2,946.8   -12.4% (band 3.0%)
    tpch__lineitem_l_suppkey__supplier_s_suppkey__T16__tierb    7,408.6 ->    6,496.1   -12.3% (band 3.0%)
    tpcds__inventory_inv_item_sk__item_i_item_sk__T96__tierb      937.0 ->      822.5   -12.2% (band 3.0%)
    job__movie_info_movie_id__title_id__filtered__T16__tierb      175.4 ->      154.1   -12.1% (band 3.0%)
    tpcds__store_sales_ss_item_sk__store_returns_sr_item_sk__composite__T96__tierb    8,622.8 ->    7,610.3   -11.7% (band 3.0%)
    tpch__lineitem_l_partkey__part_p_partkey__filtered__T96__tierb    6,311.6 ->    5,574.3   -11.7% (band 3.0%)
    tpcds__web_returns_wr_refunded_cdemo_sk__customer_demographics_cd_demo_sk__T16__tierb       65.2 ->       57.6   -11.6% (band 3.0%)
    tpcds__web_returns_wr_returned_date_sk__date_dim_d_date_sk__T96__tierb       63.0 ->       55.6   -11.6% (band 8.7%)
    job__person_info_info_type_id__info_type_id__T16__tierb       19.1 ->       16.9   -11.6% (band 3.0%)
    tpcds__catalog_sales_cs_sold_date_sk__date_dim_d_date_sk__T16__tierb      901.7 ->      798.1   -11.5% (band 10.6%)
    job__movie_info_movie_id__movie_companies_movie_id__T96__tierb      442.8 ->      392.2   -11.4% (band 4.8%)
    job__name_id__aka_name_person_id__T16__tierb         58.7 ->       52.1   -11.2% (band 3.0%)
    stackoverflow__badges_UserId__users_Id__T96__tierb    2,226.5 ->    1,979.0   -11.1% (band 3.4%)
    tpcds__catalog_sales_cs_bill_addr_sk__customer_address_ca_address_sk__T96__tierb    1,653.4 ->    1,472.4   -10.9% (band 3.0%)
    tpcds__store_returns_sr_store_sk__store_s_store_sk__T16__tierb      106.4 ->       94.9   -10.9% (band 3.0%)
    tpcds__store_sales_ss_item_sk__item_i_item_sk__T16__tierb    1,134.3 ->    1,011.1   -10.9% (band 3.0%)
    job__movie_info_info_type_id__info_type_id__T16__tierb       83.9 ->       74.8   -10.8% (band 3.0%)
    job__movie_info_movie_id__complete_cast_movie_id__T16__tierb      159.6 ->      142.7   -10.6% (band 3.0%)
    tpcds__web_sales_ws_ship_date_sk__date_dim_d_date_sk__T16__tierb      468.1 ->      418.6   -10.6% (band 6.3%)
    tpcds__catalog_sales_cs_item_sk__item_i_item_sk__T16__tierb      571.6 ->      511.6   -10.5% (band 3.0%)
    tpcds__catalog_sales_cs_item_sk__catalog_returns_cr_item_sk__composite__T96__tierb    4,153.9 ->    3,719.5   -10.5% (band 3.0%)
    tpcds__catalog_sales_cs_ship_addr_sk__customer_address_ca_address_sk__T96__tierb    1,673.8 ->    1,500.5   -10.4% (band 3.0%)
    coffeeshop__fact_sales_location_id__dim_locations_location_id__T96__tierb   13,850.2 ->   12,417.2   -10.3% (band 3.0%)
    job__movie_companies_movie_id__aka_title_movie_id__T96__tierb       37.1 ->       33.3   -10.3% (band 5.2%)
    job__title_id__movie_info_idx_movie_id__T96__tierb       42.9 ->       38.5   -10.3% (band 4.7%)
    tpcds__store_sales_ss_item_sk__store_returns_sr_item_sk__composite__T16__tierb    4,011.2 ->    3,612.5    -9.9% (band 3.9%)
    tpcds__web_sales_ws_item_sk__item_i_item_sk__T16__tierb      290.6 ->      261.9    -9.9% (band 3.0%)
    tpcds__web_sales_ws_item_sk__web_returns_wr_item_sk__composite__T96__tierb    1,989.0 ->    1,794.6    -9.8% (band 3.0%)
    job__movie_info_idx_info_type_id__info_type_id__T16__tierb        7.4 ->        6.7    -9.4% (band 3.4%)
    job__movie_companies_movie_id__complete_cast_movie_id__T16__tierb       27.0 ->       24.5    -9.4% (band 3.0%)
    job__movie_companies_movie_id__title_id__T16__tierb       32.3 ->       29.3    -9.4% (band 3.0%)
    tpcds__customer_c_first_shipto_date_sk__date_dim_d_date_sk__T96__tierb       15.6 ->       14.2    -9.2% (band 7.4%)
    tpcds__store_sales_ss_sold_date_sk__date_dim_d_date_sk__T96__tierb    2,378.2 ->    2,160.3    -9.2% (band 8.2%)
    tpch__nation_n_regionkey__region_r_regionkey__T16__tierb        0.0 ->        0.0    -9.1% (band 7.1%)
    tpcds__store_returns_sr_item_sk__item_i_item_sk__T16__tierb      121.2 ->      110.8    -8.6% (band 3.0%)
    tpcds__store_sales_ss_addr_sk__customer_address_ca_address_sk__T96__tierb    3,255.9 ->    2,977.7    -8.5% (band 3.0%)
    job__cast_info_movie_id__movie_companies_movie_id__T96__tierb      774.6 ->      709.8    -8.4% (band 3.0%)
    job__cast_info_movie_id__title_id__T16__tierb       477.7 ->      440.7    -7.7% (band 3.0%)
    tpcds__inventory_inv_date_sk__date_dim_d_date_sk__T16__tierb      492.4 ->      455.5    -7.5% (band 5.2%)
    job__person_info_info_type_id__info_type_id__T96__tierb       19.5 ->       18.0    -7.5% (band 3.0%)
    job__movie_companies_movie_id__title_id__filtered__T16__tierb       28.6 ->       26.6    -7.1% (band 3.0%)
    tpcds__store_returns_sr_returned_date_sk__date_dim_d_date_sk__T96__tierb      250.5 ->      233.6    -6.8% (band 6.7%)
    tpcds__catalog_sales_cs_item_sk__catalog_returns_cr_item_sk__composite__T16__tierb    1,980.0 ->    1,846.6    -6.7% (band 4.6%)
    job__movie_companies_movie_id__complete_cast_movie_id__T96__tierb       29.1 ->       27.3    -6.3% (band 3.0%)
    job__movie_info_movie_id__complete_cast_movie_id__T96__tierb      177.4 ->      167.7    -5.5% (band 3.0%)
    tpcds__store_sales_ss_customer_sk__customer_c_customer_sk__left_semi__T16__tierb    2,001.3 ->    1,904.1    -4.9% (band 3.0%)
    job__movie_info_movie_id__title_id__filtered__T96__tierb      283.8 ->      270.3    -4.8% (band 3.7%)
    tpcds__catalog_returns_cr_item_sk__item_i_item_sk__T16__tierb       62.4 ->       59.5    -4.6% (band 3.0%)
    tpcds__customer_c_current_addr_sk__customer_address_ca_address_sk__T16__tierb       13.1 ->       12.5    -4.2% (band 3.0%)
    tpcds__catalog_sales_cs_sold_date_sk__date_dim_d_date_sk__T96__tierb    1,036.3 ->      996.7    -3.8% (band 3.0%)
    job__cast_info_movie_id__movie_companies_movie_id__T16__tierb      485.8 ->      469.4    -3.4% (band 3.0%)
    job__cast_info_person_id__aka_name_person_id__T16__tierb      255.1 ->      247.0    -3.2% (band 3.0%)

projection_cost: verdicts 365   win=49 tie=126 loss=190   no-verdict=11
  aggregate 1,867,031.9 ms -> 2,054,156.9 ms (+10.0%)
  median per-cell delta +4.0%
  LOSSES on projection_cost: 190
    cell                                                 A ms       B ms    delta   band         disp A->B (ms)       lookup A->B (ms)      probe tot A->B (ms)
    stackoverflow__postlinks_RelatedPostId__posts_Id__T16__tierb    1,137.8    1,914.9   +68.3%   3.0%               0.0->0.4           401.5->634.6         1,539.3->2,549.6
    tpcds__household_demographics_hd_income_band_sk__income_band_ib_income_band_sk__T96__tierb        0.1        0.1   +51.8%  22.4%               0.0->0.0               0.1->0.1                 0.2->0.2
    tpch__lineitem_l_partkey__part_p_partkey__T16__tierb  104,775.6  152,068.6   +45.1%   3.0%              0.1->34.0      11,479.0->9,924.3     116,213.9->162,035.5
    stackoverflow__comments_UserId__users_Id__T16__tierb   13,792.0   19,309.6   +40.0%   3.0%               0.0->5.2       3,574.5->2,430.1       17,366.5->21,754.1
    tpch__orders_o_custkey__customer_c_custkey__T16__tierb   12,702.5   17,780.6   +40.0%   3.0%               0.0->8.6       2,699.0->2,098.7       15,409.2->19,887.5
    tpcds__customer_address_ca_state__store_s_state__filtered__T16__tierb       14.1       19.8   +39.9%   3.0%               0.0->0.0               1.9->2.3               16.0->22.1
    tpch__orders_o_custkey__customer_c_custkey__left__T16__tierb   13,150.4   18,347.3   +39.5%   3.0%               0.0->8.7       2,902.5->2,181.3       16,056.5->20,557.8
    stackoverflow__posts_OwnerUserId__users_Id__T16__tierb   11,117.2   15,406.7   +38.6%   3.0%               0.0->4.9       2,863.2->2,153.5       13,982.1->17,563.8
    job__movie_companies_movie_id__title_id__filtered__T96__tierb       30.2       40.8   +34.8%   3.5%               0.0->0.2             41.6->55.1               71.6->96.1
    tpcds__customer_address_ca_state__store_s_state__filtered__T96__tierb       16.9       22.7   +34.7%   6.3%               0.0->0.0               2.2->2.8               19.1->25.4
    tpcds__store_sales_ss_cdemo_sk__customer_demographics_cd_demo_sk__T16__tierb   11,220.3   14,986.2   +33.6%   3.0%               0.0->9.3       2,653.6->2,223.9       13,863.8->17,218.1
    tpcds__store_returns_sr_cdemo_sk__customer_demographics_cd_demo_sk__T16__tierb    1,152.0    1,537.5   +33.5%   3.0%               0.0->0.9           266.8->231.0         1,416.8->1,772.3
    tpcds__catalog_sales_cs_bill_cdemo_sk__customer_demographics_cd_demo_sk__T16__tierb    5,846.6    7,802.6   +33.5%   3.0%               0.0->4.6       1,362.9->1,131.1         7,211.7->8,937.3
    tpcds__web_sales_ws_bill_customer_sk__customer_c_customer_sk__T16__tierb    4,226.5    5,634.9   +33.3%   3.0%               0.0->2.5           601.6->514.8         4,828.9->6,157.2
    tpcds__web_returns_wr_refunded_cdemo_sk__customer_demographics_cd_demo_sk__T16__tierb      293.3      390.4   +33.1%   3.0%               0.0->0.3             65.2->57.3             358.2->447.9
    tpcds__web_returns_wr_returning_cdemo_sk__customer_demographics_cd_demo_sk__T16__tierb      292.8      388.4   +32.7%   3.0%               0.0->0.3             66.3->56.8             358.4->445.5
    tpcds__catalog_sales_cs_ship_customer_sk__customer_c_customer_sk__T16__tierb    8,463.6   11,156.6   +31.8%   3.0%               0.0->4.8       1,226.3->1,032.6        9,690.6->12,188.5
    tpcds__catalog_sales_cs_bill_customer_sk__customer_c_customer_sk__T16__tierb    8,472.8   11,165.6   +31.8%   3.0%               0.0->4.8       1,235.2->1,041.9        9,709.9->12,205.3
    tpch__lineitem_l_suppkey__supplier_s_suppkey__T16__tierb   60,119.1   79,177.3   +31.7%   3.0%              0.1->28.3       7,408.5->6,465.9       67,558.9->85,728.2
    tpcds__store_sales_ss_customer_sk__customer_c_customer_sk__T16__tierb   16,397.8   21,531.6   +31.3%   3.0%               0.1->9.8       2,415.9->2,049.0       18,812.9->23,598.0
    job__cast_info_movie_id__title_id__T16__tierb     2,657.9    3,405.6   +28.1%   3.0%               0.0->2.1           477.7->438.7         3,135.6->3,844.9
    tpch__orders_o_custkey__customer_c_custkey__filtered__T16__tierb    2,614.0    3,346.5   +28.0%   3.0%               0.1->7.7       2,618.0->2,011.3         5,238.2->5,367.1
    tpcds__customer_c_current_cdemo_sk__customer_demographics_cd_demo_sk__T16__tierb       76.7       97.9   +27.6%   3.0%               0.0->0.2             14.8->14.6              91.6->112.6
    job__name_id__person_info_person_id__T16__tierb      244.7      311.3   +27.2%   3.0%               0.0->0.5             61.5->89.5             306.4->402.9
    tpch__partsupp_ps_suppkey__supplier_s_suppkey__T16__tierb    1,854.5    2,338.4   +26.1%   3.0%               0.0->3.3           781.3->614.7         2,632.4->2,956.6
    job__cast_info_movie_id__title_id__filtered__T16__tierb      786.8      984.3   +25.1%   3.0%               0.0->1.8           476.1->405.7         1,262.8->1,391.4
    job__movie_companies_movie_id__movie_info_idx_movie_id__T16__tierb      102.8      128.3   +24.8%   3.0%               0.0->0.2             37.2->31.2             140.3->159.5
    tpcds__web_returns_wr_item_sk__item_i_item_sk__T16__tierb       85.1      106.1   +24.6%   5.4%               0.0->0.2             32.3->32.0             117.3->138.4
    job__person_info_person_id__aka_name_person_id__T16__tierb       97.4      120.9   +24.0%   3.0%               0.0->0.7             34.4->26.9             131.9->148.4
    tpcds__web_sales_ws_bill_addr_sk__customer_address_ca_address_sk__T16__tierb    3,016.4    3,734.1   +23.8%   3.0%               0.0->2.4           566.0->430.7         3,583.6->4,168.7
    tpcds__catalog_sales_cs_bill_addr_sk__customer_address_ca_address_sk__T16__tierb    5,928.0    7,319.7   +23.5%   3.0%               0.0->4.6         1,142.4->862.8         7,071.2->8,191.4
    job__movie_companies_movie_id__title_id__T16__tierb       54.9       67.8   +23.4%   3.6%               0.0->0.2             32.3->29.1               87.3->96.8
    tpcds__web_returns_wr_returning_addr_sk__customer_address_ca_address_sk__T16__tierb      315.7      388.0   +22.9%   3.0%               0.0->0.3             58.4->48.5             375.2->436.8
    tpcds__catalog_sales_cs_ship_addr_sk__customer_address_ca_address_sk__T16__tierb    6,028.8    7,410.1   +22.9%   3.0%               0.0->4.7         1,148.5->871.0         7,184.4->8,284.3
    tpcds__web_sales_ws_ship_addr_sk__customer_address_ca_address_sk__T16__tierb    3,046.2    3,739.9   +22.8%   3.0%               0.0->2.4           566.8->429.7         3,612.8->4,173.0
    stackoverflow__comments_PostId__posts_Id__T96__tierb    3,763.1    4,615.1   +22.6%   3.0%               0.0->6.3      8,065.0->10,378.4       11,876.4->15,026.9
    job__movie_info_movie_id__movie_keyword_movie_id__T16__tierb    1,282.2    1,570.3   +22.5%   3.0%               0.0->2.1           249.2->188.7         1,531.3->1,760.8
    tpcds__catalog_sales_cs_item_sk__catalog_returns_cr_item_sk__composite__T96__tierb      200.5      245.5   +22.5%   3.0%               0.0->3.4       4,153.9->3,715.7         4,353.9->3,965.0
    job__movie_companies_company_id__company_name_id__T16__tierb       92.7      113.4   +22.4%   3.0%               0.0->0.2             25.7->20.2             118.3->133.4
    tpcds__store_sales_ss_addr_sk__customer_address_ca_address_sk__T16__tierb   11,572.7   14,107.9   +21.9%   3.0%               0.1->8.9       2,249.7->1,722.6       13,842.8->15,861.5
    job__cast_info_movie_id__movie_companies_movie_id__T16__tierb    6,980.2    8,487.7   +21.6%   3.0%               0.0->2.4           485.8->467.1         7,466.1->8,957.0
    tpcds__store_sales_ss_item_sk__store_returns_sr_item_sk__composite__T96__tierb      418.3      507.5   +21.3%   3.0%               0.1->6.7       8,622.8->7,603.8         9,036.2->8,117.4
    job__complete_cast_status_id__comp_cast_type_id__T16__tierb        1.9        2.3   +21.3%  17.4%               0.0->0.0               0.7->1.0                 2.5->3.4
    job__movie_keyword_movie_id__title_id__T16__tierb       83.0      100.6   +21.1%   3.7%               0.0->0.1             37.6->41.6             120.6->139.6
    job__movie_keyword_movie_id__aka_title_movie_id__T16__tierb      109.6      132.5   +20.9%   3.6%               0.0->0.1             30.6->33.1             140.2->165.6
