probe_ab_report: 1 file(s), 8052 timed-run rows, arms present [('baseline', None), ('candidate', None)]
arm A = 'baseline'   arm B = 'candidate'   metrics = ['probe_cost', 'projection_cost']

=== Unit 3 jbmt real tier b: per-metric verdicts (band = max(3%, per-arm relative spread), evaluated per metric) ===

probe_cost: verdicts 365   win=164 tie=50 loss=151   no-verdict=11
  aggregate 493,179.2 ms -> 449,846.8 ms (-8.8%)
  median per-cell delta -0.4%
  LOSSES on probe_cost: 151
    cell                                                 A ms       B ms    delta   band         disp A->B (ms)       lookup A->B (ms)      probe tot A->B (ms)
    tpcds__customer_c_first_shipto_date_sk__date_dim_d_date_sk__filtered__T16__tierb        4.9        6.1   +25.6%   3.0%               0.0->0.1               4.9->6.0                 8.0->9.7
    job__movie_companies_company_type_id__company_type_id__filtered__T16__tierb        8.9       11.1   +25.2%   3.0%               0.0->0.1              8.9->11.0               26.1->29.6
    job__movie_keyword_movie_id__complete_cast_movie_id__T16__tierb       24.2       30.2   +25.1%   3.4%               0.0->0.1             24.2->30.1               67.9->78.0
    tpcds__catalog_returns_cr_returned_date_sk__date_dim_d_date_sk__filtered__T16__tierb       37.2       46.5   +24.9%   3.0%               0.0->0.4             37.2->46.1               73.3->86.6
    tpcds__customer_c_first_sales_date_sk__date_dim_d_date_sk__filtered__T16__tierb        4.8        6.0   +24.4%   3.0%               0.0->0.1               4.8->5.9                 7.9->9.3
    job__movie_info_idx_movie_id__movie_link_movie_id__T96__tierb        6.6        8.1   +23.3%   3.7%               0.0->0.1               6.6->8.1               14.7->15.9
    job__movie_keyword_movie_id__aka_title_movie_id__T96__tierb       34.4       42.3   +23.1%   3.0%               0.0->0.3             34.4->42.1             207.3->221.7
    job__cast_info_person_id__person_info_person_id__T96__tierb      795.5      974.0   +22.4%   3.0%               0.3->4.0           795.2->970.0       21,865.5->21,490.0
    tpcds__customer_address_ca_state__store_s_state__T16__tierb        2.4        3.0   +22.3%   3.0%               0.0->0.0               2.4->2.9               49.4->58.5
    tpcds__inventory_inv_date_sk__date_dim_d_date_sk__filtered__T96__tierb      232.8      283.6   +21.9%   3.0%               0.1->3.2           232.7->280.3             491.6->533.8
    tpcds__web_returns_wr_returned_date_sk__date_dim_d_date_sk__filtered__T16__tierb       26.5       32.2   +21.4%   3.0%               0.0->0.2             26.5->32.0               46.4->53.6
    tpcds__catalog_sales_cs_ship_date_sk__date_dim_d_date_sk__filtered__T16__tierb      340.0      412.6   +21.4%   3.0%               0.0->3.0           339.9->409.7             667.9->748.0
    tpcds__customer_address_ca_state__store_s_state__filtered__T16__tierb        1.9        2.3   +21.2%   3.3%               0.0->0.0               1.9->2.3               16.0->22.1
    job__movie_keyword_movie_id__movie_link_movie_id__T96__tierb       17.3       21.0   +21.1%   7.1%               0.0->0.2             17.3->20.7               33.4->36.3
    job__movie_keyword_movie_id__movie_info_idx_movie_id__T96__tierb       43.9       53.0   +20.7%   6.0%               0.0->0.3             43.9->52.7             285.9->296.2
    job__movie_companies_company_type_id__company_type_id__filtered__T96__tierb        9.9       11.9   +20.6%   4.7%               0.0->0.2              9.9->11.7               30.6->31.9
    job__complete_cast_movie_id__movie_link_movie_id__T16__tierb        0.7        0.9   +20.5%   3.3%               0.0->0.0               0.7->0.9                 1.5->1.7
    tpcds__web_sales_ws_ship_date_sk__date_dim_d_date_sk__filtered__T16__tierb      253.8      305.3   +20.3%   3.0%               0.0->1.6           253.8->303.7             441.5->495.9
    tpcds__catalog_sales_cs_sold_date_sk__date_dim_d_date_sk__filtered__T96__tierb      338.1      406.4   +20.2%   3.0%               0.3->5.6           337.7->400.9             836.9->899.4
    job__movie_keyword_movie_id__complete_cast_movie_id__T96__tierb       30.4       36.5   +20.0%   5.1%               0.0->0.2             30.4->36.3               81.7->89.5
    tpcds__store_sales_ss_item_sk__item_i_item_sk__filtered__T16__tierb      530.2      636.3   +20.0%   3.0%               0.0->5.9           530.1->630.5         1,004.6->1,157.6
    tpcds__store_returns_sr_returned_date_sk__date_dim_d_date_sk__filtered__T16__tierb      105.2      126.1   +19.9%   3.0%               0.0->0.7           105.2->125.5             183.9->208.2
    coffeeshop__fact_sales_product_name__dim_products_name__T16__tierb   17,336.9   20,739.7   +19.6%   3.0%             0.8->134.0     17,336.2->20,603.8       74,448.3->77,401.9
