q	run	sec	build_rows	rf_created	prealloc	sel_rows
q22	r3	0.033	28	3	0	47598247
q22	r4	0.033	28	3	0	47598247
q22	r5	0.033	28	3	0	47598247
q22	r6	0.033	28	3	0	47598247
q23	r1	0.27	4214899	3	0	47598247
q23	r2	0.103	4214899	3	4167488	47598247
q23	r3	0.098	4214899	3	4167488	47598247
q23	r4	0.098	4214899	3	4167488	47598247
q23	r5	0.097	4214899	3	4167488	47598247
q23	r6	0.1	4214899	3	4167488	47598247
q24	r1	0.493	37218260	7	0	46835282
q24	r2	0.331	37216096	6	34213968	46835282
q24	r3	0.325	37216096	6	34213968	46835282
q24	r4	0.318	37216096	6	34213968	46835282
q24	r5	0.32	37216096	6	34213968	46835282
q24	r6	0.319	37216096	6	34213968	46835282
q25	r1	0.447	36428797	6	33330512	46835282
q25	r2	0.313	36428643	6	33330512	46835282
q25	r3	0.313	36428618	6	33330512	46835282
q25	r4	0.3	36428557	6	33330512	46835282
q25	r5	0.293	36428579	6	33330512	46835282
q25	r6	0.297	36428613	6	33330512	46835282
q26	r1	0.864	38389651	7	33330512	46835282
q26	r2	1.959	38381051	6	35373920	46835282
q26	r3	2.159	38381051	6	35373920	46835282
q26	r4	2.716	38381051	6	35373920	46835282
q26	r5	2.182	38381051	6	35373920	46835282
q26	r6	2.268	38381080	6	35373920	46835282
q27	r1	0.231	2608335	5	0	46685628
q27	r2	0.107	2596185	6	2528304	46685628
q27	r3	0.078	2595169	6	2528304	46685628
q27	r4	0.079	2595799	6	2528304	46685628
q27	r5	0.075	2595453	6	2528304	46685628
q27	r6	0.074	2595640	6	2528304	46685628
q28	r1	0.189	31706	5	0	46685628
q28	r2	0.09	40194	5	0	46685628
q28	r3	0.073	40194	5	0	46685628
q28	r4	0.07	40194	5	0	46685628
q28	r5	0.071	40194	5	0	46685628
q28	r6	0.069	40194	5	0	46685628
q29	r1	0.282	14196416	6	2528304	46685628
q29	r2	0.205	4443911	6	588208	46685628
q29	r3	0.222	4821330	6	571696	46685628
q29	r4	0.12	4443911	6	1565008	46685628
q29	r5	0.158	4821330	6	1786896	46685628
q29	r6	0.139	4443911	6	1565008	46685628
q30	r1	0.18	4195126	6	1731600	46685628
q30	r2	0.073	2685963	6	1731600	46685628
q30	r3	0.091	2325462	6	588208	46685628
q30	r4	0.092	2685963	6	1749376	46685628
q30	r5	0.1	2325462	6	805040	46685628
q30	r6	0.086	2685963	6	1749376	46685628
q31	r1	0.283	4562391	6	0	49825967
q31	r2	0.096	3233827	7	4248224	49825967
q31	r3	0.095	3233827	7	3140336	49825967
q31	r4	0.095	3233827	7	3140336	49825967
q31	r5	0.12	3233827	7	3140336	49825967
q31	r6	0.094	3233827	7	3140336	49825967
q32	r1	0.27	3798851	6	3140336	49825967
q32	r2	0.103	3459476	6	3653152	49825967
q32	r3	0.106	3459476	6	3288624	49825967
q32	r4	0.098	3459476	6	3288624	49825967
q32	r5	0.098	3459476	6	3288624	49825967
q32	r6	0.099	3459476	6	3288624	49825967
q33	r1	0.328	7448040	7	3140336	49825967
q33	r2	0.127	7537450	7	6311440	49825967
q33	r3	0.129	7448340	7	6317200	49825967
q33	r4	0.122	7556970	7	6317200	49825967
q33	r5	0.121	7526437	7	6319792	49825967
q33	r6	0.124	7552239	7	6319792	49825967
q34	r1	0.33	7566608	7	6320176	49825967
q34	r2	0.135	7581822	7	6320176	49825967
