q	run	sec	build_rows	rf_created	prealloc	sel_rows
q22	r4	0.049	1381467	4	0	47598247
q22	r5	0.05	1381467	4	0	47598247
q22	r6	0.048	1381467	4	0	47598247
q23	r1	0.569	41793296	4	0	47598247
q23	r2	0.409	41793296	4	0	47598247
q23	r3	0.394	41793296	4	0	47598247
q23	r4	0.413	41793296	4	0	47598247
q23	r5	0.401	41793296	4	0	47598247
q23	r6	0.388	41793296	4	0	47598247
q24	r1	0.46	37218260	7	0	46835282
q24	r2	0.288	37218260	7	0	46835282
q24	r3	0.28	37218260	7	0	46835282
q24	r4	0.27	37218260	7	0	46835282
q24	r5	0.311	37218260	7	0	46835282
q24	r6	0.286	37218260	7	0	46835282
q25	r1	0.402	36428979	7	0	46835282
q25	r2	0.277	36428979	7	0	46835282
q25	r3	0.267	36428979	7	0	46835282
q25	r4	0.26	36428979	7	0	46835282
q25	r5	0.254	36428979	7	0	46835282
q25	r6	0.273	36428979	7	0	46835282
q26	r1	0.829	38409456	7	0	46835282
q26	r2	0.636	38409456	7	0	46835282
q26	r3	0.621	38409456	7	0	46835282
q26	r4	0.681	38409456	7	0	46835282
q26	r5	0.619	38409456	7	0	46835282
q26	r6	0.621	38409456	7	0	46835282
q27	r1	0.215	2608335	5	0	46685628
q27	r2	0.088	2608335	5	0	46685628
q27	r3	0.088	2608335	5	0	46685628
q27	r4	0.082	2608335	5	0	46685628
q27	r5	0.08	2608335	5	0	46685628
q27	r6	0.083	2608335	5	0	46685628
q28	r1	0.188	31706	5	0	46685628
q28	r2	0.073	31706	5	0	46685628
q28	r3	0.073	31706	5	0	46685628
q28	r4	0.076	31706	5	0	46685628
q28	r5	0.071	31706	5	0	46685628
q28	r6	0.073	31706	5	0	46685628
q29	r1	0.26	12831213	6	0	46685628
q29	r2	0.226	16145508	6	0	46685628
q29	r3	0.203	15335378	6	0	46685628
q29	r4	0.145	12756174	6	0	46685628
q29	r5	0.178	14357318	6	0	46685628
q29	r6	0.18	14612310	6	0	46685628
q30	r1	0.161	6600318	6	0	46685628
q30	r2	0.089	6771977	6	0	46685628
q30	r3	0.103	8090538	6	0	46685628
q30	r4	0.091	8288282	6	0	46685628
q30	r5	0.099	8578526	6	0	46685628
q30	r6	0.091	8155506	6	0	46685628
q31	r1	0.277	4563001	6	0	49825967
q31	r2	0.113	4557198	6	0	49825967
q31	r3	0.113	4557858	6	0	49825967
q31	r4	0.128	4557858	6	0	49825967
q31	r5	0.114	4557858	6	0	49825967
q31	r6	0.113	4560702	6	0	49825967
q32	r1	0.26	3798851	6	0	49825967
q32	r2	0.104	3798038	6	0	49825967
q32	r3	0.101	3797251	6	0	49825967
q32	r4	0.102	3798335	6	0	49825967
q32	r5	0.103	3798038	6	0	49825967
q32	r6	0.103	3798522	6	0	49825967
q33	r1	0.262	5817349	7	0	49825967
q33	r2	0.115	5817349	7	0	49825967
q33	r3	0.111	5817349	7	0	49825967
q33	r4	0.115	5817349	7	0	49825967
q33	r5	0.113	5817349	7	0	49825967
q33	r6	0.11	5817349	7	0	49825967
q34	r1	0.313	7392930	7	0	49825967
q34	r2	0.154	7387497	7	0	49825967
q34	r3	0.151	7504859	7	0	49825967
q34	r4	0.154	7515901	7	0	49825967
q34	r5	0.149	7471094	7	0	49825967
q34	r6	0.148	7490388	7	0	49825967
q35	r1	0.253	3153495	6	0	44757137
q35	r2	0.087	3153495	6	0	44757137
q35	r3	0.084	3153495	6	0	44757137
q35	r4	0.086	3153495	6	0	44757137
q35	r5	0.084	3153495	6	0	44757137
q35	r6	0.087	3153495	6	0	44757137
q36	r1	0.132	3140357	6	0	41913011
q36	r2	0.058	3140357	6	0	41913011
q36	r3	0.059	3140357	6	0	41913011
q36	r4	0.058	3140357	6	0	41913011
q36	r5	0.063	3140357	6	0	41913011
q36	r6	0.057	3140357	6	0	41913011
q37	r1	0.214	5911550	6	0	44757137
q37	r2	0.099	5830885	6	0	44757137
q37	r3	0.092	5972024	6	0	44757137
q37	r4	0.09	5979909	6	0	44757137
q37	r5	0.098	5950912	6	0	44757137
q37	r6	0.091	5990005	6	0	44757137
q38	r1	0.007	0	0	0	0
q38	r2	0.005	0	0	0	0
q38	r3	0.005	0	0	0	0
q38	r4	0.005	0	0	0	0
q38	r5	0.005	0	0	0	0
q38	r6	0.005	0	0	0	0
q39	r1	0.005	0	0	0	0
q39	r2	0.005	0	0	0	0
q39	r3	0.005	0	0	0	0
q39	r4	0.005	0	0	0	0
q39	r5	0.005	0	0	0	0
q39	r6	0.005	0	0	0	0
q40	r1	0.159	2318111	7	0	10060557
q40	r2	0.064	2318021	7	0	10060557
q40	r3	0.06	2318021	7	0	10060557
q40	r4	0.073	2318021	7	0	10060557
q40	r5	0.06	2318021	7	0	10060557
q40	r6	0.058	2318021	7	0	10060557
q41	r1	0.145	2318111	7	0	10060557
q41	r2	0.057	2318021	7	0	10060557
q41	r3	0.06	2318021	7	0	10060557
q41	r4	0.071	2318021	7	0	10060557
q41	r5	0.059	2318021	7	0	10060557
q41	r6	0.063	2318021	7	0	10060557
q42	r1	0.532	959336	6	0	21588423
q42	r2	0.145	959336	6	0	21588423
q42	r3	0.145	959336	6	0	21588423
q42	r4	0.144	933056	6	0	21588423
q42	r5	0.147	959336	6	0	21588423
q42	r6	0.145	959336	6	0	21588423
q43	r1	0.146	627388	7	0	21588423
q43	r2	0.063	627388	7	0	21588423
q43	r3	0.063	627388	7	0	21588423
q43	r4	0.085	627388	7	0	21588423
q43	r5	0.062	627388	7	0	21588423
q43	r6	0.062	627388	7	0	21588423
q44	r1	0.543	2335238	6	0	21588423
q44	r2	0.166	2399605	6	0	21588423
q44	r3	0.162	2365065	6	0	21588423
q44	r4	0.154	2370582	6	0	21588423
q44	r5	0.159	2334043	6	0	21588423
