1	0.304	0.031	0.030	0.168	0.030	0.030
2	0.212	0.138	0.131	0.116	0.135	0.137
3	0.088	0.024	0.027	0.024	0.024	0.024
4	0.189	0.145	0.112	0.142	0.119	0.137
5	0.130	0.053	0.053	0.054	0.054	0.053
6	0.124	0.050	0.051	0.052	0.050	0.050
7	0.081	0.035	0.030	0.028	0.029	0.028
8	0.154	0.071	0.070	0.070	0.072	0.073
9	0.519	0.131	0.133	0.131	0.128	0.132
10	0.515	0.128	0.129	0.133	0.130	0.132
11	0.528	0.137	0.131	0.132	0.132	0.133
12	0.144	0.064	0.060	0.063	0.060	0.060
13	0.103	0.024	0.024	0.024	0.024	0.024
14	0.153	0.069	0.072	0.071	0.078	0.075
15	0.042	0.020	0.019	0.019	0.019	0.020
16	0.040	0.018	0.017	0.018	0.017	0.018
17	0.498	0.121	0.121	0.120	0.120	0.121
18	0.146	0.044	0.044	0.044	0.045	0.048
19	0.139	0.037	0.037	0.037	0.038	0.037
20	0.133	0.037	0.036	0.036	0.036	0.037
21	0.147	0.049	0.048	0.050	0.048	0.046
22	0.147	0.044	0.043	0.044	0.045	0.043
23	0.650	0.487	0.484	0.475	0.480	0.477
24	0.450	0.279	0.266	0.260	0.258	0.270
25	0.385	0.262	0.256	0.241	0.263	0.247
26	0.857	0.667	0.631	0.684	0.642	0.636
27	0.210	0.079	0.075	0.077	0.076	0.074
28	0.188	0.069	0.068	0.065	0.067	0.066
29	0.262	0.180	0.157	0.204	0.155	0.171
30	0.156	0.081	0.086	0.088	0.086	0.105
31	0.273	0.103	0.105	0.120	0.102	0.102
32	0.257	0.092	0.092	0.092	0.093	0.092
33	0.262	0.110	0.102	0.101	0.100	0.100
34	0.306	0.137	0.127	0.125	0.123	0.127
35	0.243	0.080	0.079	0.079	0.081	0.078
36	0.131	0.053	0.055	0.053	0.053	0.053
37	0.204	0.087	0.088	0.087	0.084	0.084
38	0.006	0.005	0.005	0.005	0.005	0.005
39	0.005	0.005	0.005	0.005	0.005	0.005
