1	0.157	0.025	0.024	0.160	0.023	0.023
2	0.215	0.018	0.017	0.017	0.017	0.017
3	0.088	0.022	0.022	0.022	0.022	0.022
4	0.059	0.018	0.017	0.017	0.017	0.017
5	0.138	0.045	0.043	0.044	0.043	0.045
6	0.116	0.040	0.040	0.041	0.043	0.039
7	0.110	0.037	0.036	0.036	0.036	0.036
8	0.139	0.057	0.057	0.056	0.056	0.064
9	0.532	0.132	0.133	0.131	0.134	0.130
10	0.519	0.134	0.132	0.132	0.132	0.134
11	0.528	0.136	0.140	0.137	0.134	0.132
12	0.149	0.059	0.060	0.061	0.058	0.057
13	0.106	0.023	0.022	0.025	0.022	0.022
14	0.159	0.073	0.072	0.074	0.068	0.068
15	0.044	0.019	0.019	0.019	0.019	0.019
16	0.043	0.017	0.018	0.017	0.017	0.017
17	0.501	0.124	0.123	0.122	0.123	0.120
18	0.154	0.041	0.044	0.041	0.036	0.037
19	0.133	0.044	0.036	0.035	0.035	0.039
20	0.111	0.031	0.031	0.031	0.032	0.031
21	0.143	0.042	0.042	0.042	0.041	0.041
22	0.116	0.033	0.032	0.032	0.032	0.032
23	0.268	0.100	0.096	0.095	0.094	0.097
24	0.481	0.321	0.314	0.308	0.310	0.308
25	0.436	0.304	0.304	0.290	0.284	0.288
26	0.853	1.948	2.149	2.705	2.172	2.257
27	0.227	0.104	0.075	0.076	0.073	0.071
28	0.187	0.088	0.071	0.068	0.070	0.068
29	0.275	0.202	0.219	0.115	0.154	0.135
30	0.176	0.069	0.088	0.088	0.097	0.082
31	0.277	0.093	0.091	0.092	0.117	0.091
32	0.264	0.100	0.102	0.095	0.095	0.095
33	0.322	0.122	0.124	0.117	0.115	0.119
34	0.324	0.130	0.123	0.123	0.120	0.129
35	0.247	0.079	0.080	0.082	0.078	0.078
36	0.141	0.055	0.060	0.055	0.054	0.056
37	0.173	0.065	0.065	0.065	0.070	0.066
38	0.006	0.005	0.005	0.005	0.005	0.005
39	0.005	0.005	0.005	0.005	0.005	0.005
40	0.148	0.145	0.053	0.066	0.054	0.053
41	0.289	0.202	0.197	0.211	0.198	0.199
42	0.534	0.143	0.139	0.137	0.138	0.137
43	0.130	0.042	0.035	0.035	0.048	0.038
44	0.635	0.158	0.156	0.153	0.154	0.152
45	0.220	0.225	0.133	0.161	0.112	0.125
46	0.214	0.143	0.118	0.128	0.118	0.126
47	0.205	0.138	0.119	0.117	0.123	0.117
48	0.211	0.139	0.122	0.131	0.122	0.122
49	0.536	0.295	0.147	0.145	0.144	0.145
50	0.530	0.139	0.139	0.125	0.126	0.125
51	0.539	0.305	0.150	0.164	0.155	0.151
