1	0.333	0.031	0.031	0.163	0.030	0.029
2	0.213	0.130	0.113	0.113	0.116	0.116
3	0.093	0.025	0.025	0.025	0.025	0.024
4	0.166	0.109	0.110	0.118	0.122	0.109
5	0.131	0.054	0.054	0.053	0.053	0.056
6	0.122	0.049	0.050	0.050	0.050	0.050
7	0.083	0.030	0.029	0.029	0.030	0.029
8	0.150	0.067	0.067	0.065	0.068	0.069
9	0.521	0.129	0.128	0.129	0.132	0.133
10	0.513	0.125	0.130	0.130	0.127	0.127
11	0.522	0.133	0.130	0.133	0.131	0.134
12	0.147	0.059	0.058	0.059	0.058	0.058
13	0.103	0.024	0.024	0.024	0.024	0.024
14	0.158	0.073	0.070	0.071	0.070	0.072
15	0.042	0.019	0.019	0.019	0.019	0.019
16	0.041	0.017	0.019	0.017	0.018	0.017
17	0.495	0.124	0.123	0.122	0.120	0.121
18	0.147	0.045	0.048	0.044	0.044	0.044
19	0.139	0.039	0.038	0.038	0.038	0.038
20	0.134	0.036	0.036	0.036	0.037	0.039
21	0.151	0.054	0.051	0.051	0.051	0.053
22	0.146	0.048	0.049	0.048	0.048	0.049
23	0.662	0.505	0.496	0.493	0.516	0.494
24	0.433	0.315	0.309	0.324	0.309	0.323
25	0.437	0.301	0.301	0.299	0.284	0.306
26	0.868	0.697	0.679	0.731	0.693	0.686
27	0.207	0.081	0.077	0.075	0.080	0.072
28	0.190	0.068	0.073	0.068	0.069	0.063
29	0.326	0.225	0.163	0.186	0.197	0.181
30	0.154	0.078	0.090	0.089	0.085	0.086
31	0.265	0.103	0.105	0.118	0.104	0.103
32	0.258	0.093	0.093	0.093	0.093	0.092
33	0.261	0.101	0.102	0.103	0.104	0.100
34	0.308	0.139	0.137	0.122	0.125	0.128
35	0.247	0.080	0.078	0.079	0.080	0.079
36	0.136	0.055	0.052	0.052	0.052	0.055
37	0.178	0.067	0.067	0.068	0.072	0.068
38	0.006	0.005	0.005	0.005	0.005	0.005
39	0.005	0.005	0.005	0.005	0.005	0.005
40	0.142	0.049	0.054	0.062	0.050	0.051
41	0.140	0.051	0.051	0.062	0.054	0.050
