1	0.298	0.036	0.033	0.171	0.032	0.032
2	0.214	0.148	0.148	0.144	0.133	0.130
3	0.090	0.027	0.026	0.027	0.027	0.027
4	0.200	0.132	0.144	0.140	0.125	0.140
5	0.135	0.057	0.060	0.057	0.059	0.058
6	0.126	0.054	0.054	0.055	0.054	0.056
7	0.083	0.034	0.033	0.032	0.032	0.032
8	0.146	0.072	0.078	0.076	0.075	0.072
9	0.531	0.130	0.138	0.133	0.134	0.130
10	0.514	0.130	0.133	0.129	0.138	0.131
11	0.520	0.143	0.136	0.147	0.139	0.136
12	0.148	0.062	0.064	0.061	0.061	0.063
13	0.106	0.026	0.026	0.026	0.025	0.027
14	0.160	0.075	0.078	0.076	0.075	0.077
15	0.044	0.020	0.020	0.020	0.020	0.020
16	0.068	0.018	0.018	0.018	0.018	0.018
17	0.502	0.126	0.124	0.125	0.125	0.123
18	0.151	0.047	0.046	0.046	0.049	0.046
19	0.137	0.040	0.040	0.039	0.039	0.039
20	0.139	0.038	0.038	0.038	0.039	0.038
21	0.151	0.051	0.049	0.051	0.049	0.049
22	0.146	0.046	0.046	0.046	0.047	0.045
23	0.558	0.398	0.384	0.403	0.390	0.378
24	0.448	0.277	0.268	0.259	0.300	0.274
25	0.390	0.266	0.256	0.249	0.243	0.262
26	0.817	0.625	0.609	0.669	0.607	0.610
27	0.211	0.084	0.084	0.078	0.076	0.078
28	0.185	0.069	0.070	0.073	0.068	0.070
29	0.253	0.219	0.196	0.139	0.171	0.173
30	0.156	0.084	0.098	0.086	0.094	0.086
31	0.271	0.107	0.107	0.122	0.108	0.107
32	0.255	0.098	0.096	0.097	0.097	0.098
33	0.257	0.109	0.105	0.110	0.107	0.104
34	0.307	0.148	0.145	0.148	0.143	0.141
35	0.249	0.083	0.080	0.082	0.080	0.083
36	0.129	0.054	0.055	0.054	0.059	0.053
37	0.209	0.094	0.087	0.086	0.093	0.086
38	0.007	0.005	0.005	0.005	0.005	0.005
39	0.005	0.005	0.005	0.005	0.005	0.005
40	0.155	0.060	0.056	0.069	0.056	0.054
41	0.141	0.052	0.056	0.067	0.054	0.058
42	0.528	0.140	0.140	0.139	0.143	0.140
43	0.142	0.059	0.059	0.081	0.058	0.058
44	0.539	0.161	0.157	0.150	0.154	0.153
45	0.295	0.253	0.131	0.164	0.327	0.188
46	0.203	0.128	0.121	0.127	0.128	0.128
47	0.201	0.138	0.124	0.125	0.133	0.127
48	0.206	0.147	0.131	0.126	0.135	0.133
49	0.535	0.141	0.132	0.130	0.130	0.131
50	0.525	0.132	0.129	0.129	0.129	0.128
51	0.542	0.136	0.136	0.139	0.136	0.136
52	0.339	0.102	0.101	0.109	0.102	0.104
53	0.328	0.096	0.097	0.095	0.102	0.104
54	0.302	0.084	0.085	0.107	0.084	0.086
55	0.175	0.064	0.063	0.063	0.063	0.064
56	0.408	0.239	0.234	0.228	0.229	0.230
